Unique,Ewatch,Prog,SWFW,Year,Date,DOY,days,Stock,Stock_Analysis,Stock_Region,Stock_Group,Stock_Area,SEASON1,Length,Mass,K,logK,Sex,Catch_Region,Zone,Latitude,Longitude,Tissue,LOD,Value,hkg,ae_hyd,ae_sal,arena1,arena2,ascv,aspv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,gy_sal,ic_hof,ic_mul,ihnv,ipnv,isav7,isav8,ku_thy,lo_sal,mitov,mo_vis,my_arc,my_cer,my_ins,na_sal,ne_per,omv,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,pmcv,prv,pspv,re_sal,reov,rlo,sav,sch,sgpx,smallUK,sp_des,sp_sal,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
1000-0018-118-0477,0,HS,SW,2008,09-Oct-08,283,23,Great Central,VI,VI,VI,VI,Fall,185,62,0.979211498,-3.009123496,M,Northern,ECVI,52.206,-129.191,Mixed,NO,AvgCopy,0.002861445,,0,0,0,0,,11442.72071,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,2095245.816,,0,0,0,,0,0,0,598.8724617,8.636139403,0,0,,0,0,0,0,0,,0,0,0,0.711954255,,0,0,0,0,0,0,0,0,0
1000-0018-118-0481,0,HS,SW,2008,09-Oct-08,283,23,Weaver,Weaver,Lower Fraser,Lower Fraser,Fraser,Fall,181,50,0.843207149,-3.07406572,M,Northern,ECVI,52.206,-129.191,Mixed,NO,AvgCopy,0.12134751,,0,0,0,0,,24943.68703,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,1548164.634,,0,0,0,,0,0,0,0.073001337,0,0,0,,0,33.15369135,0,0,0,,0,0,0,0,,0,0,0,2.896802396,0,0,0,0,0
1000-0018-118-0484,0,HS,SW,2008,09-Oct-08,283,23,Vernon L,VI,VI,VI,VI,Fall,183,59,0.962717225,-3.016501258,F,Northern,ECVI,52.206,-129.191,Mixed,NO,AvgCopy,0.027261256,,0,0,,0,,3267.874423,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,1488149.949,,0,0,0,,0,0,0,0.785909471,0,0,0,,0,0,0,,0,,0,0,0,0,,0,1.364248349,0,0,0,0,0,0,0
1000-0018-118-0485,0,HS,SW,2008,09-Oct-08,283,23,Vernon L,VI,VI,VI,VI,Fall,156,40,1.053625314,-2.977313804,F,Northern,Northern,52.318,-129.715,Mixed,NO,AvgCopy,0.022657856,,0,0,0,0,,135.2790286,0,0,0,0,0,0,0,,128.9530403,0,0,,,,0,0,0,,17.34615387,,0,0,0,,0,0,0,734.1004455,17.16892085,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0486,0,HS,SW,2008,09-Oct-08,283,23,Dallery,Central Coast,Central Coast,Central Coast,Central Coast,Fall,166,48,1.0493418,-2.979083027,M,Northern,Northern,52.318,-129.715,Mixed,NO,AvgCopy,0.012967611,,0,0,0,0,,0,0,0,0,0,0,0,0,,28.59987354,0,0,,,,0,0,0,,4353118.833,,0,0,0,,0,0,0,2422.006677,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0488,0,HS,SW,2008,09-Oct-08,283,23,Great Central,VI,VI,VI,VI,Fall,164,41,0.929506246,-3.031747687,F,Northern,Northern,52.318,-129.715,Mixed,NO,AvgCopy,0.636147171,,0,0,0,0,,145.7004562,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,4382942.027,,0,0,0,,0,0,0,393.4312533,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0501,0,HS,SW,2008,09-Oct-08,283,23,U Horsefly,Quesnel,Middle Fraser,Middle Fraser,Fraser,Fall,190,69,1.005977548,-2.997411712,F,Northern,Northern,52.485,-130.508,Mixed,NO,AvgCopy,0.013285199,,0,0,0,0,,17561.44261,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,584804.7959,,0,0,0,,0,0,13031.26067,20579.88799,5158.582556,0,0,,0,175.0922524,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0506,0,HS,SW,2008,09-Oct-08,283,23,Amback,Central Coast,Central Coast,Central Coast,Central Coast,Fall,175,54,1.007580175,-2.996720386,F,Northern,Northern,52.485,-130.508,Mixed,NO,AvgCopy,3.324728966,,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,,,0,0,0,,127143.112,,0,0,0,,0,0,0,488.3913188,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0580,0,HS,SW,2008,11-Oct-08,285,25,Great Central,VI,VI,VI,VI,Fall,196,74,0.982796284,-3.007536494,F,AK,Northern,55.864,-132.178,Mixed,NO,AvgCopy,0.261870531,,0,0,0,0,,857.8476421,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,3.660996591,,0,0,0,,0,0,0,15308.96384,5.888760651,0,0,,0,0,0,0,0,,0.89416648,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0691,0,HS,SW,2008,15-Oct-08,289,29,Long Lake,Central Coast,Central Coast,Central Coast,Central Coast,Fall,202,86,1.043384409,-2.981555657,F,AK,Northern,57.044,-133.107,Mixed,NO,AvgCopy,17.19615203,,0,0,0,0,,759.3983543,0,0,0,0,0,0,0,,2.096677015,0,0,,,,0,0,0,,0,,0,0,0,,0,0,0,375.3359577,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0709,0,HS,SW,2008,16-Oct-08,290,30,Washwash,Central Coast,Central Coast,Central Coast,Central Coast,Fall,190,71,1.035136317,-2.985002454,F,AK,Northern,58.221,-135.303,Mixed,NO,AvgCopy,0.156024141,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,8.444664473,,0,0,0,,0,4860.144362,0,15558.79221,216.8178487,0,0,,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0711,0,HS,SW,2008,16-Oct-08,290,30,Washwash,Central Coast,Central Coast,Central Coast,Central Coast,Fall,210,94,1.015009178,-2.993530031,F,AK,Northern,58.158,-135.034,Mixed,NO,AvgCopy,3.170545209,,0,0,0,0,,29.92270043,0,0,0,0,0,0,0,,81.42505818,0,0,,,,0,0,0,,0,,0,0,0,,0,0,4.695133596,58907.3067,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0715,0,HS,SW,2008,16-Oct-08,290,30,Great Central,VI,VI,VI,VI,Fall,190,74,1.078874471,-2.967029083,F,AK,Northern,58.058,-134.844,Mixed,NO,AvgCopy,0.301708075,,0,0,0.266503719,0,,4539.216917,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,1161380.155,,0,0,0,,0,0,0,2695.053519,676.4526556,0,0,,0,2162.944056,0,,0,,0,0,0,0,,0,0,0,0.573065977,0,0,0,0,0
1000-0018-118-0716,0,HS,SW,2008,16-Oct-08,290,30,Mitchell,Quesnel,Middle Fraser,Middle Fraser,Fraser,Fall,200,86,1.075,-2.968591536,M,AK,Northern,58.058,-134.844,Mixed,NO,AvgCopy,0.082524639,,0,0,0,0,,2578.012414,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,8040.583235,,0,0,0,,0,0,0,13049.60255,6.392379418,0,0,,0,1.30504688,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0768,0,HS,SW,2008,18-Oct-08,292,32,Woss Lake,VI,VI,VI,VI,Fall,205,83,0.963421889,-3.016183491,F,AK,Northern,55.088,-131.803,Mixed,NO,AvgCopy,7.786840859,,0,0,0,0,,58.67808871,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,0,,0,0,0,,0,0,6.099772929,203.2046848,24.75856549,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0792,0,HS,SW,2008,19-Oct-08,293,33,Kitlope,Central Coast,Central Coast,Central Coast,Central Coast,Fall,182,60,0.99526123,-3.002062914,M,Northern,Northern,54.982,-130.067,Mixed,NO,AvgCopy,0.001309346,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,0,,0,0,0,,0,0,0,123.3802072,905.1189282,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0794,0,HS,SW,2008,19-Oct-08,293,33,Great Central,VI,VI,VI,VI,Fall,186,67,1.041204341,-2.98246403,F,Northern,Northern,54.857,-130.211,Mixed,NO,AvgCopy,0.000774679,,0,0,0,0,,7590.595601,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,19.41183893,,0,0,0,,0,0,0,186.4124579,1316.437759,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0803,0,HS,SW,2008,19-Oct-08,293,33,Great Central,VI,VI,VI,VI,Fall,189,70,1.036842111,-2.984287373,M,Northern,Northern,54.786,-130.312,Mixed,NO,AvgCopy,0.002352607,,0,0,0,0,,3293.84183,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,6141145.71,,0,0,0,,0,0,0,145.2548028,345.2784271,0,0,,0,50.92290553,0,0,0,,1.908978386,0,0,2.264805604,,0,0,0,0,0,0,0,0,0
