Year,orderID,Stock_Analysis,brood_year,metric,resid_value,N,N+,prev,mean_load,prevload,agent,mean_load_all
2009,546,L.Stuart,2007,SR_resid,-0.909914238,24,0,0,NA,NA,arena2,0
2009,1072,Weaver,2007,SR_resid,0.373206132,24,0,0,NA,NA,arena2,0
2009,844,Raft,2007,SR_resid,-1.686389702,24,0,0,NA,NA,arena2,0
2009,1023,Stellako,2007,SR_resid,-0.237997908,24,0,0,NA,NA,arena2,0
2009,416,Harrison,2007,SR_resid,1.302594795,24,0,0,NA,NA,arena2,0
2009,481,L.Shuswap,2007,SR_resid,0.393202736,24,0,0,NA,NA,arena2,0
2009,779,Quesnel,2007,SR_resid,-0.837340687,24,0,0,NA,NA,arena2,0
2009,714,Portage,2007,SR_resid,-1.123567523,24,0,0,NA,NA,arena2,0
2009,253,E.Stuart,2007,SR_resid,-0.3685416,24,0,0,NA,NA,arena2,0
2009,958,Seymour,2007,SR_resid,-0.993664555,24,0,0,NA,NA,arena2,0
2009,893,Scotch,2007,SR_resid,0.163596172,24,0,0,NA,NA,arena2,0
2009,653,Pitt,2007,SR_resid,0.120920179,24,0,0,NA,NA,arena2,0
2009,351,Gates,2007,SR_resid,2.467319401,24,0,0,NA,NA,arena2,0
2009,304,Fennell,2007,SR_resid,-1.307513278,24,0,0,NA,NA,arena2,0
2009,588,Nadina,2007,SR_resid,0.440171086,24,0,0,NA,NA,arena2,0
2009,58,Birkenhead,2007,SR_resid,-0.298008118,24,0,0,NA,NA,arena2,0
2009,123,Bowron,2007,SR_resid,-0.088793614,24,0,0,NA,NA,arena2,0
2009,188,Chilko,2007,SR_resid,-0.030888725,24,0,0,NA,NA,arena2,0
2010,959,Seymour,2008,SR_resid,-0.098492426,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,1024,Stellako,2008,SR_resid,-0.786656037,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,1073,Weaver,2008,SR_resid,1.410032,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,547,L.Stuart,2008,SR_resid,-0.799779079,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,305,Fennell,2008,SR_resid,0.698291627,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,780,Quesnel,2008,SR_resid,-1.465100553,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,845,Raft,2008,SR_resid,-0.506234743,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,482,L.Shuswap,2008,SR_resid,2.308392081,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
2010,352,Gates,2008,SR_resid,0.906764602,103,11,0.106796117,6117.515061,653.3268512,arena2,6117.515061
