,load_std,b..Intercept..Stock.Birkenhead.,b.load_std.Stock.Birkenhead.,b..Intercept..Stock.Bowron.,b.load_std.Stock.Bowron.,b..Intercept..Stock.Chilko.,b.load_std.Stock.Chilko.,b..Intercept..Stock.E.Stuart.,b.load_std.Stock.E.Stuart.,b..Intercept..Stock.Fennell.,b.load_std.Stock.Fennell.,b..Intercept..Stock.Gates.,b.load_std.Stock.Gates.,b..Intercept..Stock.Harrison.,b.load_std.Stock.Harrison.,b..Intercept..Stock.L.Shuswap.,b.load_std.Stock.L.Shuswap.,b..Intercept..Stock.L.Stuart.,b.load_std.Stock.L.Stuart.,b..Intercept..Stock.Nadina.,b.load_std.Stock.Nadina.,b..Intercept..Stock.Pitt.,b.load_std.Stock.Pitt.,b..Intercept..Stock.Portage.,b.load_std.Stock.Portage.,b..Intercept..Stock.Quesnel.,b.load_std.Stock.Quesnel.,b..Intercept..Stock.Raft.,b.load_std.Stock.Raft.,b..Intercept..Stock.Scotch.,b.load_std.Stock.Scotch.,b..Intercept..Stock.Seymour.,b.load_std.Stock.Seymour.,b..Intercept..Stock.Stellako.,b.load_std.Stock.Stellako.,b..Intercept..Stock.Weaver.,b.load_std.Stock.Weaver.,b..Intercept..Year.2009.,b..Intercept..Year.2010.,b..Intercept..Year.2011.,b..Intercept..Year.2012.,b..Intercept..Year.2013.,b..Intercept..Year.2014.,b..Intercept..Year.2015.,b..Intercept..Year.2016.,sigma,Sigma.Stock..Intercept...Intercept..,Sigma.Stock.load_std..Intercept..,Sigma.Stock.load_std.load_std.,Sigma.Year..Intercept...Intercept..
smallUK,0.984,0.771,0.376,0.738,0.6775,0.305,0.4775,0.5405,0.503,0.75,0.613,0.243,0.2725,0.2635,0.395,0.4165,0.7635,0.6195,0.3245,0.379,0.525,0.5075,0.2475,0.6565,0.661,0.6945,0.5135,0.606,0.479,0.532,0.632,0.649,0.6455,0.585,0.488,0.669,0.572,0.929,0.553,0.91,0.747,0.935,0.98,0.7825,1,0,0,0.4255,0,0
te_mar,0.9605,0.741,0.3935,0.7045,0.597,0.3285,0.552,0.5035,0.614,0.708,0.519,0.27,0.3945,0.2925,0.536,0.3615,0.651,0.6125,0.37,0.3855,0.587,0.5325,0.4315,0.61,0.458,0.6565,0.4485,0.5755,0.5095,0.49,0.5615,0.5935,0.537,0.5725,0.4395,0.6375,0.339,0.902,0.5805,0.862,0.615,1,0.9615,0.751,0.9985,0,0,0.551,0,0
pa_min,0.8025,0.7335,0.418,0.6905,0.6935,0.326,0.6225,0.49,0.542,0.715,0.447,0.262,0.359,0.2825,0.493,0.3515,0.57,0.6175,0.426,0.3665,0.5905,0.491,0.402,0.6075,0.536,0.6525,0.5975,0.5765,0.6,0.4885,0.4775,0.6035,0.58,0.5725,0.4995,0.6135,0.27,0.8075,0.129,0.7605,0.511,1,0.9795,0.9585,0.999,0,0,0.5,0,0
pa_pse,0.7895,0.8235,0.423,0.8,0.453,0.182,0.2365,0.42,0.143,0.8405,0.7595,0.145,0.3605,0.1265,0.1575,0.38,0.837,0.6325,0.3425,0.264,0.2495,0.4205,0.1405,0.7565,0.916,0.7465,0.6295,0.571,0.285,0.5435,0.7325,0.6665,0.564,0.618,0.5785,0.7765,0.965,0.7815,0.353,0.7365,0.4095,0.713,0.9795,1,1,0,0,0.239,0,0
fl_psy,0.769,0.6845,0.512,0.6595,0.5835,0.36,0.538,0.51,0.4145,0.679,0.4285,0.307,0.529,0.3125,0.5285,0.3725,0.533,0.58,0.4215,0.383,0.46,0.4995,0.613,0.569,0.5135,0.614,0.5545,0.571,0.552,0.4745,0.4565,0.576,0.4815,0.5555,0.4905,0.6065,0.4475,0.817,0.1475,0.781,0.5725,1,0.9425,1,0.8085,0,0,0.5265,0,0
ku_thy,0.729,0.711,0.5655,0.7135,0.4185,0.3385,0.461,0.4865,0.4365,0.695,0.4845,0.2645,0.62,0.272,0.653,0.358,0.5395,0.5955,0.394,0.369,0.3715,0.4915,0.746,0.615,0.4125,0.6505,0.384,0.572,0.565,0.4925,0.516,0.6165,0.3935,0.5735,0.4605,0.6045,0.586,0.648,0.482,0.728,0.511,1,0.9695,1,0.651,0,0,0.554,0,0
prv,0.677,0.809,0.501,0.793,0.479,0.206,0.2315,0.4255,0.166,0.8375,0.7195,0.1625,0.4205,0.1425,0.145,0.3815,0.7745,0.619,0.4065,0.256,0.2595,0.4315,0.1515,0.743,0.8905,0.719,0.655,0.5465,0.285,0.535,0.699,0.6825,0.5715,0.608,0.5525,0.792,0.959,0.755,0.229,0.6935,0.246,0.7965,0.9635,1,0.9985,0,0,0.2355,0,0
pa_ther,0.673,0.75,0.642,0.731,0.3965,0.3055,0.487,0.5115,0.4475,0.748,0.359,0.2215,0.707,0.231,0.717,0.3395,0.5365,0.6555,0.343,0.3625,0.329,0.4435,0.858,0.664,0.276,0.673,0.3805,0.579,0.5745,0.499,0.4455,0.6445,0.3325,0.5985,0.3725,0.6455,0.4855,0.7225,0.32,0.7085,0.382,1,0.9615,1,0.681,0,0,0.6365,0,0
arena2,0.6485,0.739,0.6415,0.7525,0.381,0.2815,0.4675,0.5285,0.424,0.757,0.356,0.197,0.763,0.209,0.7645,0.337,0.5295,0.6595,0.3435,0.3685,0.333,0.405,0.8805,0.6705,0.2555,0.6745,0.3615,0.5745,0.56,0.4825,0.45,0.6705,0.295,0.619,0.3645,0.638,0.473,0.726,0.32,0.6655,0.357,1,0.9735,1,0.7055,0,0,0.6605,0,0
fa_mar,0.6375,0.7335,0.647,0.7465,0.3895,0.296,0.4715,0.516,0.426,0.7615,0.3535,0.1955,0.75,0.208,0.73,0.328,0.4885,0.6475,0.3645,0.3695,0.3265,0.4055,0.8865,0.669,0.2555,0.681,0.371,0.574,0.5385,0.511,0.423,0.665,0.316,0.5945,0.38,0.6335,0.506,0.7275,0.2975,0.648,0.338,1,0.9655,1,0.7375,0,0,0.6665,0,0
te_bry,0.6315,0.7285,0.485,0.6925,0.4285,0.3335,0.4205,0.488,0.316,0.7275,0.506,0.2745,0.5875,0.2495,0.5685,0.3535,0.655,0.606,0.4345,0.365,0.4435,0.506,0.522,0.5965,0.5665,0.6425,0.57,0.581,0.434,0.493,0.535,0.623,0.396,0.575,0.443,0.59,0.7075,0.7125,0.3765,0.422,0.4415,0.965,0.932,1,0.9915,0,0,0.5315,0,0
sp_des,0.6265,0.7365,0.6495,0.78,0.361,0.2875,0.486,0.508,0.4295,0.7755,0.3695,0.216,0.7155,0.199,0.7565,0.3535,0.4665,0.6255,0.363,0.367,0.3235,0.4185,0.8695,0.681,0.243,0.685,0.3465,0.5825,0.569,0.486,0.452,0.6665,0.2885,0.61,0.389,0.647,0.493,0.724,0.3055,0.635,0.359,1,0.9775,1,0.735,0,0,0.6795,0,0
ic_mul,0.6235,0.7505,0.406,0.723,0.383,0.3235,0.51,0.495,0.5745,0.7285,0.4235,0.227,0.6975,0.225,0.756,0.3735,0.439,0.623,0.4825,0.325,0.6345,0.482,0.5945,0.698,0.262,0.696,0.2785,0.618,0.3465,0.457,0.5245,0.626,0.3985,0.5535,0.566,0.6255,0.479,0.687,0.4285,0.4905,0.3275,0.9995,0.659,1,0.995,0,0,0.714,0,0
ic_hof,0.621,0.757,0.667,0.792,0.3455,0.2675,0.49,0.544,0.39,0.8075,0.2945,0.169,0.7965,0.178,0.8065,0.3285,0.525,0.6605,0.3245,0.3665,0.3375,0.3825,0.909,0.702,0.228,0.7165,0.3865,0.5875,0.5465,0.493,0.4185,0.689,0.2515,0.642,0.3415,0.638,0.464,0.7195,0.29,0.566,0.342,1,0.951,1,0.74,0,0,0.712,0,0
rlo,0.4925,0.712,0.4335,0.7015,0.6805,0.3275,0.654,0.51,0.506,0.7025,0.402,0.2915,0.4215,0.2765,0.4505,0.371,0.4355,0.615,0.5245,0.3815,0.5625,0.5105,0.3995,0.6205,0.551,0.6405,0.6245,0.5805,0.56,0.492,0.4165,0.5905,0.5535,0.5815,0.5655,0.611,0.2855,0.663,0.406,0.5895,0.3085,0.9995,0.9405,1,0.996,0,0,0.4875,0,0
pa_kab,0.492,0.734,0.362,0.7015,0.393,0.313,0.521,0.4795,0.5975,0.7065,0.5175,0.262,0.559,0.258,0.633,0.402,0.2715,0.591,0.5945,0.336,0.6575,0.5055,0.4195,0.622,0.39,0.6795,0.2805,0.599,0.37,0.473,0.5625,0.609,0.5305,0.5455,0.7015,0.6075,0.5185,0.6775,0.2355,0.605,0.308,1,0.7045,1,0.998,0,0,0.591,0,0
