"","prev_std","b..Intercept..Stock.Birkenhead.","b.prev_std.Stock.Birkenhead.","b..Intercept..Stock.Bowron.","b.prev_std.Stock.Bowron.","b..Intercept..Stock.Chilko.","b.prev_std.Stock.Chilko.","b..Intercept..Stock.E.Stuart.","b.prev_std.Stock.E.Stuart.","b..Intercept..Stock.Fennell.","b.prev_std.Stock.Fennell.","b..Intercept..Stock.Gates.","b.prev_std.Stock.Gates.","b..Intercept..Stock.Harrison.","b.prev_std.Stock.Harrison.","b..Intercept..Stock.L.Shuswap.","b.prev_std.Stock.L.Shuswap.","b..Intercept..Stock.L.Stuart.","b.prev_std.Stock.L.Stuart.","b..Intercept..Stock.Nadina.","b.prev_std.Stock.Nadina.","b..Intercept..Stock.Pitt.","b.prev_std.Stock.Pitt.","b..Intercept..Stock.Portage.","b.prev_std.Stock.Portage.","b..Intercept..Stock.Quesnel.","b.prev_std.Stock.Quesnel.","b..Intercept..Stock.Raft.","b.prev_std.Stock.Raft.","b..Intercept..Stock.Scotch.","b.prev_std.Stock.Scotch.","b..Intercept..Stock.Seymour.","b.prev_std.Stock.Seymour.","b..Intercept..Stock.Stellako.","b.prev_std.Stock.Stellako.","b..Intercept..Stock.Weaver.","b.prev_std.Stock.Weaver.","b..Intercept..Year.2009.","b..Intercept..Year.2010.","b..Intercept..Year.2011.","b..Intercept..Year.2012.","b..Intercept..Year.2013.","b..Intercept..Year.2014.","b..Intercept..Year.2015.","b..Intercept..Year.2016.","sigma","Sigma.Stock..Intercept...Intercept..","Sigma.Stock.prev_std..Intercept..","Sigma.Stock.prev_std.prev_std.","Sigma.Year..Intercept...Intercept.."
"arena2",0.71,0.731,0.598,0.734,0.4325,0.2965,0.494,0.4985,0.421,0.7465,0.367,0.2025,0.7,0.211,0.7395,0.3565,0.533,0.635,0.334,0.3645,0.37,0.409,0.8295,0.639,0.2865,0.6735,0.389,0.587,0.536,0.479,0.473,0.6315,0.333,0.586,0.4115,0.637,0.4905,0.7885,0.292,0.6655,0.465,1,0.972,1,0.6545,0,0,0.6595,0,0
"c_b_cys",0.7655,0.776,0.6675,0.7635,0.3335,0.3165,0.2865,0.506,0.523,0.755,0.5525,0.1955,0.705,0.2355,0.556,0.3165,0.7985,0.6545,0.302,0.347,0.3755,0.481,0.6905,0.6365,0.3605,0.6785,0.3195,0.603,0.3525,0.463,0.6465,0.6475,0.39,0.592,0.2505,0.614,0.7845,0.7935,0.6715,0.4495,0.167,0.9985,0.982,1,0.932,0,0,0.5915,0,0
"ce_sha",0.2545,0.7225,0.4965,0.702,0.6065,0.32,0.6295,0.498,0.433,0.707,0.3955,0.268,0.474,0.2745,0.4695,0.3635,0.348,0.6005,0.5625,0.3735,0.5305,0.5055,0.4365,0.606,0.5705,0.638,0.6635,0.559,0.56,0.4855,0.4045,0.6025,0.521,0.564,0.5835,0.6105,0.347,0.574,0.6545,0.474,0.2055,1,0.878,1,0.995,0,0,0.4985,0,0
"de_sal",0.2075,0.7195,0.649,0.726,0.5365,0.325,0.5315,0.5145,0.4585,0.7105,0.335,0.2605,0.698,0.2545,0.4915,0.3695,0.362,0.6235,0.525,0.384,0.397,0.4915,0.712,0.6075,0.3985,0.6705,0.546,0.566,0.5165,0.475,0.4035,0.6095,0.4155,0.566,0.44,0.624,0.428,0.4235,0.6605,0.3605,0.5795,1,0.772,1,0.989,0,0,0.526,0,0
"fa_mar",0.688,0.7415,0.567,0.749,0.37,0.2995,0.505,0.5295,0.4445,0.767,0.31,0.1785,0.78,0.1615,0.826,0.355,0.484,0.652,0.344,0.355,0.4555,0.3655,0.8565,0.709,0.205,0.7155,0.3145,0.5885,0.4755,0.504,0.4475,0.67,0.2785,0.5865,0.4245,0.6435,0.4515,0.7415,0.3655,0.554,0.468,1,0.925,1,0.703,0,0,0.736,0,0
"fl_psy",0.8465,0.6975,0.55,0.703,0.494,0.3385,0.465,0.523,0.391,0.7105,0.4325,0.276,0.578,0.2875,0.581,0.3655,0.5995,0.6075,0.347,0.376,0.3695,0.4865,0.7055,0.6105,0.461,0.643,0.459,0.5485,0.522,0.487,0.5075,0.619,0.409,0.579,0.43,0.597,0.5625,0.857,0.2715,0.8105,0.5965,0.9995,0.966,1,0.544,0,0,0.5505,0,0
"ic_hof",0.5705,0.72,0.491,0.6815,0.371,0.301,0.4395,0.4905,0.456,0.7145,0.588,0.2635,0.511,0.286,0.4845,0.351,0.4065,0.5965,0.55,0.376,0.4195,0.513,0.5385,0.607,0.532,0.629,0.347,0.5735,0.4755,0.4865,0.564,0.6045,0.5085,0.557,0.629,0.6145,0.73,0.5825,0.367,0.616,0.357,0.999,0.7575,0.9995,0.984,0,0,0.4545,0,0
"ic_mul",0.975,0.7855,0.371,0.771,0.5935,0.305,0.3935,0.5175,0.4175,0.7765,0.6635,0.216,0.3365,0.2505,0.383,0.4095,0.7595,0.6175,0.289,0.359,0.476,0.4975,0.2155,0.671,0.718,0.673,0.4805,0.607,0.386,0.538,0.6925,0.662,0.6045,0.615,0.548,0.6845,0.737,0.9635,0.6975,0.901,0.7695,0.6255,0.9025,0.9765,0.9995,0,0,0.4065,0,0
"ku_thy",0.3405,0.6935,0.466,0.6805,0.48,0.354,0.511,0.5015,0.512,0.6765,0.589,0.277,0.322,0.285,0.42,0.349,0.4605,0.5945,0.572,0.371,0.493,0.4925,0.4845,0.5935,0.612,0.6375,0.5765,0.5935,0.6305,0.4985,0.479,0.5895,0.556,0.5635,0.534,0.5925,0.4565,0.7025,0.2075,0.5785,0.245,1,0.954,1,0.9925,0,0,0.403,0,0
"lo_sal",0.5145,0.755,0.3105,0.7155,0.4105,0.3055,0.5475,0.495,0.5595,0.7045,0.5165,0.262,0.574,0.241,0.65,0.3825,0.2875,0.585,0.5915,0.34,0.674,0.526,0.374,0.637,0.416,0.662,0.319,0.603,0.3505,0.479,0.5615,0.594,0.508,0.542,0.689,0.5985,0.5195,0.662,0.2585,0.611,0.334,1,0.697,1,0.9915,0,0,0.627,0,0
