"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.669758248227364","-0.262296358594126","-0.0864429173344288","0.00362062620908491","0.18485378795777","arena2"
"b[(Intercept) Stock:Bowron]","-0.678366344201066","-0.261272545709338","-0.0920435187737333","-0.000263667169307872","0.178250585374866","arena2"
"b[(Intercept) Stock:Chilko]","-0.215581808114686","-0.00811788517306796","0.066338674337437","0.215640021468363","0.591468556325643","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.40987575770611","-0.101901236194997","-0.00334422919543635","0.0791207157526363","0.383533009762449","arena2"
"b[(Intercept) Stock:Fennell]","-0.681137130550982","-0.281596012298371","-0.103765038470367","-0.00142885101982162","0.164821200989843","arena2"
"b[(Intercept) Stock:Gates]","-0.139499088602689","0.0107157924975628","0.12734804871174","0.319321882146032","0.722542364461449","arena2"
"b[(Intercept) Stock:Harrison]","-0.139341900552353","0.0118481110571723","0.13403849392709","0.311789629019985","0.717844688546744","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.247569056456884","-0.0207788710056164","0.0492944921023193","0.186408180855405","0.518485397980292","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.518765158435318","-0.184779311839716","-0.046176871735056","0.0221771253535065","0.243216530896712","arena2"
"b[(Intercept) Stock:Nadina]","-0.286381622984265","-0.0380110916728033","0.0320633398881939","0.157713676476368","0.51292390058376","arena2"
"b[(Intercept) Stock:Pitt]","-0.37351275912677","-0.0481537558449544","0.0287037237942222","0.161468608694341","0.494719284487385","arena2"
"b[(Intercept) Stock:Portage]","-0.547419952365255","-0.196283804502476","-0.0522980394896825","0.0197589529890619","0.245770819946093","arena2"
"b[(Intercept) Stock:Quesnel]","-0.60317769599195","-0.20965292478248","-0.059853270681076","0.0149393004983373","0.235838259804192","arena2"
"b[(Intercept) Stock:Raft]","-0.446300519278891","-0.129246968238592","-0.0158296541062361","0.0540495489162021","0.295693433142296","arena2"
"b[(Intercept) Stock:Scotch]","-0.371942777380546","-0.079271297746081","0.000782534322231812","0.0866663182764884","0.362728162651384","arena2"
"b[(Intercept) Stock:Seymour]","-0.535385622709063","-0.183558608531814","-0.0475224397561553","0.0195730397742339","0.231184728045604","arena2"
"b[(Intercept) Stock:Stellako]","-0.479876884476057","-0.150299546597722","-0.0296044125962106","0.0374002450142015","0.279640033037701","arena2"
"b[(Intercept) Stock:Weaver]","-0.496667598525866","-0.16009349759863","-0.0330358882010392","0.0330473520067758","0.267125352833316","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.637611277503914","-0.175634121559183","-0.0369353857320594","0.00362705687402892","0.130176569079682","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.556164939707044","-0.151486141573326","-0.0272189734946369","0.00929920025958188","0.168617106011748","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.172593317820214","-0.00936095167912515","0.0242825205259471","0.135008235412695","0.501654432755541","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.314779270451304","-0.0580587138743351","-0.00123166448031708","0.0484175241035196","0.2884844552475","c_b_cys"
"b[(Intercept) Stock:Fennell]","-0.547377719600411","-0.155245683330054","-0.0314599508066952","0.00663452117232282","0.14293975836392","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.140888214717576","-0.00306103958567568","0.0388547409466723","0.178860715039087","0.595470144056867","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.152886362836799","-0.00402380991963956","0.0393834978004007","0.17088077560545","0.599540806944199","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.19072375929201","-0.0172954962420511","0.0178313639312088","0.115038474742811","0.450905615289689","c_b_cys"
"b[(Intercept) Stock:L.Stuart]","-0.419726877999052","-0.0943335664598752","-0.0114280470637365","0.0238301678573697","0.221093307764516","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.211358972255139","-0.0165654426064011","0.0150250100484802","0.116711798803457","0.45226212390092","c_b_cys"
