"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.663595455873775","-0.23510783348923","-0.0781614485267512","0.00207858186590774","0.168848359907322","arena2"
"b[(Intercept) Stock:Bowron]","-0.637627992637764","-0.238441934932332","-0.0739931463260233","0.00246485938872096","0.170722425447851","arena2"
"b[(Intercept) Stock:Chilko]","-0.201295299618709","-0.00912078119283887","0.0581372519703317","0.200434877804576","0.574594566556925","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.379894515516401","-0.0878856124052369","-0.00119972565516864","0.0777933502906877","0.350045398150958","arena2"
"b[(Intercept) Stock:Fennell]","-0.650205153284642","-0.255912934112476","-0.0907153654594146","-0.000685187864501276","0.160248868126528","arena2"
"b[(Intercept) Stock:Gates]","-0.132540483016745","0.00908979684693858","0.112284260519801","0.285878727959515","0.705106312083919","arena2"
"b[(Intercept) Stock:Harrison]","-0.142264501458432","0.00693441343062371","0.106676107480707","0.289944495888379","0.690642156721866","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.239270416006175","-0.0204536220648768","0.0406304611854994","0.166372894743794","0.534027335835278","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.521333515296552","-0.16392153695407","-0.0355658281195331","0.0265390924229648","0.260366182757098","arena2"
"b[(Intercept) Stock:Nadina]","-0.26233185106107","-0.0353028781642522","0.0301709785434205","0.147459905150683","0.477118799338737","arena2"
"b[(Intercept) Stock:Pitt]","-0.336879527576475","-0.0492358585706893","0.0217521750534581","0.139720734040172","0.472863806322343","arena2"
"b[(Intercept) Stock:Portage]","-0.510731980227917","-0.178509830357564","-0.041629284818638","0.0222606567266433","0.256857627904496","arena2"
"b[(Intercept) Stock:Quesnel]","-0.539506327794603","-0.177519876442699","-0.0490622561531732","0.0136589269674424","0.218241199495472","arena2"
"b[(Intercept) Stock:Raft]","-0.433055375982287","-0.114610604145925","-0.0170243723663576","0.0473745562806188","0.28269972540235","arena2"
"b[(Intercept) Stock:Scotch]","-0.378989207970256","-0.0822656765702967","0.00124700286242078","0.0815290662766727","0.374600361792406","arena2"
"b[(Intercept) Stock:Seymour]","-0.529739490231257","-0.168866023406062","-0.0364512258828276","0.0287646220753586","0.248552731039027","arena2"
"b[(Intercept) Stock:Stellako]","-0.464376489985488","-0.130880564645821","-0.0208243698752015","0.0429411053850375","0.294550509356516","arena2"
"b[(Intercept) Stock:Weaver]","-0.484813877733053","-0.154549769597987","-0.0349167781826887","0.028236195886516","0.248956703427314","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.714008947860775","-0.27157902848501","-0.104435061097713","-0.00470837185999279","0.170787774601685","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.654892114990405","-0.261569198699197","-0.100173884276929","-0.00208932546426656","0.172817477588749","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.229023294265857","-0.017384908084822","0.0621823124362992","0.21495796748288","0.611545092812028","c_b_cys"
"b[(Intercept) Stock:E.Stuart]","-0.390347391819176","-0.0916542539923874","0.000789481203037792","0.0928383674332267","0.366771821650838","c_b_cys"
"b[(Intercept) Stock:Fennell]","-0.661833804082825","-0.250651650086885","-0.0940958266642535","-0.000694463283711761","0.172071841607399","c_b_cys"
"b[(Intercept) Stock:Gates]","-0.136387538764049","0.0133901267970203","0.1283450649825","0.314771873014178","0.707264336380854","c_b_cys"
"b[(Intercept) Stock:Harrison]","-0.158044384669432","0.00533981004951617","0.108993053107475","0.291273971067658","0.690235154162764","c_b_cys"
"b[(Intercept) Stock:L.Shuswap]","-0.240212836757576","-0.0163376956899889","0.0665970770132337","0.215600303486404","0.598803820333524","c_b_cys"
"b[(Intercept) Stock:L.Stuart]","-0.511828210992327","-0.16321092706954","-0.0418984425705615","0.0288933704787693","0.2665297733615","c_b_cys"
"b[(Intercept) Stock:Nadina]","-0.248242062767224","-0.0272563701995303","0.0461795830398104","0.181488454810283","0.523260284546337","c_b_cys"
"b[(Intercept) Stock:Pitt]","-0.375116639692655","-0.090364099348483","0.00236224234612493","0.0981981242641013","0.369472114889869","c_b_cys"
"b[(Intercept) Stock:Portage]","-0.517249602467544","-0.175289625906708","-0.0466761709549582","0.0281011256281851","0.261260292453641","c_b_cys"
"b[(Intercept) Stock:Quesnel]","-0.585247557524508","-0.205090907626394","-0.0602205214558603","0.0167750630081032","0.240665285951556","c_b_cys"
"b[(Intercept) Stock:Raft]","-0.487341022906666","-0.145673760905978","-0.0270020730595724","0.0436564587061689","0.279590735779853","c_b_cys"
"b[(Intercept) Stock:Scotch]","-0.342893486702289","-0.0765791317416265","0.00608791275620211","0.104435150443066","0.411347543862312","c_b_cys"
"b[(Intercept) Stock:Seymour]","-0.516924886590749","-0.167024131270736","-0.0413605952446229","0.0331611156441246","0.250776556022314","c_b_cys"
"b[(Intercept) Stock:Stellako]","-0.473299521772117","-0.146225683270655","-0.0293821307285779","0.0435561568064804","0.299674529017132","c_b_cys"
"b[(Intercept) Stock:Weaver]","-0.502418363658903","-0.15746426036052","-0.0322002128415437","0.0489428778687155","0.299923868253367","c_b_cys"
"b[(Intercept) Stock:Birkenhead]","-0.611126291992458","-0.207701072036984","-0.0576277913005361","0.00243226250148858","0.13096979780675","ce_sha"
"b[(Intercept) Stock:Bowron]","-0.593542555414354","-0.181438101309699","-0.0462050799052055","0.00616543961184491","0.167399306899644","ce_sha"
"b[(Intercept) Stock:Chilko]","-0.18656671584719","-0.00943443920854374","0.0351815023426504","0.153654900165123","0.536581533582403","ce_sha"
"b[(Intercept) Stock:E.Stuart]","-0.330720110547278","-0.0592190547762573","-4.14836495715976e-05","0.0608810866609811","0.316921557518188","ce_sha"
"b[(Intercept) Stock:Fennell]","-0.600211438258235","-0.182418101008108","-0.0450398218118924","0.00615100278845173","0.160747674419291","ce_sha"
"b[(Intercept) Stock:Gates]","-0.133809572306733","-0.000711918972087014","0.055839736293892","0.20874595061137","0.635362845107545","ce_sha"
"b[(Intercept) Stock:Harrison]","-0.147043718723774","-0.00249900598276522","0.0568600733770602","0.208340767631161","0.611780008010928","ce_sha"
"b[(Intercept) Stock:L.Shuswap]","-0.192074597463802","-0.0174920959228401","0.0229885131998503","0.133304843673649","0.484563192334071","ce_sha"
"b[(Intercept) Stock:L.Stuart]","-0.456223808057088","-0.111670308650388","-0.0144440658958023","0.0294269025985539","0.232529460920332","ce_sha"
"b[(Intercept) Stock:Nadina]","-0.214529346299211","-0.0197488298023507","0.0241098861259552","0.129093187639745","0.450748492195475","ce_sha"
"b[(Intercept) Stock:Pitt]","-0.342319275855148","-0.0662038839264122","7.04645305521941e-05","0.0642117926496976","0.322113703663838","ce_sha"
"b[(Intercept) Stock:Portage]","-0.471356341606499","-0.11742238919294","-0.016448364662736","0.0285007594282263","0.228720335061808","ce_sha"
"b[(Intercept) Stock:Quesnel]","-0.493193433220068","-0.140777397716442","-0.0245697133276649","0.0195632551743814","0.214654427742998","ce_sha"
"b[(Intercept) Stock:Raft]","-0.427699963468979","-0.0996822854733649","-0.00929598564643909","0.0360177947982963","0.265115706140935","ce_sha"
"b[(Intercept) Stock:Scotch]","-0.310921523691926","-0.0555127772405974","0.000989411359510001","0.0680357995316351","0.342897729886387","ce_sha"
"b[(Intercept) Stock:Seymour]","-0.447533508664403","-0.113811874226325","-0.0142195867121823","0.0306989351094701","0.243983981432275","ce_sha"
"b[(Intercept) Stock:Stellako]","-0.429794439770016","-0.0985195992848905","-0.00795399667807352","0.0392093785879651","0.253423467060342","ce_sha"
"b[(Intercept) Stock:Weaver]","-0.457130973823079","-0.117055805982003","-0.0149075814168425","0.0291473192322044","0.241243039764074","ce_sha"
"b[(Intercept) Stock:Birkenhead]","-0.652124974076715","-0.230394272243591","-0.0735513347519209","0.00243866679089381","0.158622942083025","de_sal"
"b[(Intercept) Stock:Bowron]","-0.618874812449305","-0.205433558950058","-0.0543190068818169","0.0040448575253004","0.168632427596786","de_sal"
"b[(Intercept) Stock:Chilko]","-0.193903533041367","-0.0120938862712127","0.0465247221905837","0.176402061100794","0.545410329770959","de_sal"
"b[(Intercept) Stock:E.Stuart]","-0.364430827311621","-0.0719993609385248","-0.000881366924985115","0.0650063285595899","0.337491488577998","de_sal"
"b[(Intercept) Stock:Fennell]","-0.645443881868907","-0.218026666602021","-0.0637303546242606","0.00404814156904497","0.15786629301384","de_sal"
"b[(Intercept) Stock:Gates]","-0.149142885721776","-0.00102574379130062","0.0738824338106094","0.244883423246935","0.650929797601612","de_sal"
"b[(Intercept) Stock:Harrison]","-0.141157174294924","-0.000114913691418201","0.0725095250441814","0.223346449173388","0.645869228474397","de_sal"
"b[(Intercept) Stock:L.Shuswap]","-0.236611859268019","-0.0236339445201572","0.0276691159909079","0.141872910379009","0.497689970640425","de_sal"
"b[(Intercept) Stock:L.Stuart]","-0.477581518160383","-0.126703367775921","-0.0241229906235121","0.0271779462822038","0.238529937024507","de_sal"
"b[(Intercept) Stock:Nadina]","-0.236476463092663","-0.0225707746294569","0.0277657460807334","0.145044437068999","0.501220701063378","de_sal"
"b[(Intercept) Stock:Pitt]","-0.367578830431856","-0.0720753489204925","0.000318926686982553","0.0730591685951408","0.339961999133705","de_sal"
"b[(Intercept) Stock:Portage]","-0.492502162355257","-0.135682391740899","-0.0242108542651115","0.0276739164907671","0.257946645142839","de_sal"
"b[(Intercept) Stock:Quesnel]","-0.511767961701347","-0.151968515609889","-0.0350504557854259","0.0157939696023992","0.217644332855484","de_sal"
"b[(Intercept) Stock:Raft]","-0.441454869472645","-0.108724491111198","-0.0110581078138635","0.0398264402127127","0.273978975944591","de_sal"
"b[(Intercept) Stock:Scotch]","-0.35479752856491","-0.0658403878190005","0.00162211056235117","0.075270136653126","0.375514377584441","de_sal"
"b[(Intercept) Stock:Seymour]","-0.482335455019971","-0.124096782683765","-0.0212922265668363","0.0326813625581824","0.247154803085112","de_sal"
"b[(Intercept) Stock:Stellako]","-0.439907299773873","-0.110433673036489","-0.0134108823149691","0.042432140828536","0.280124677546326","de_sal"
"b[(Intercept) Stock:Weaver]","-0.469704814167652","-0.137176553259303","-0.0242807146686625","0.0307927202352075","0.234728128160742","de_sal"
"b[(Intercept) Stock:Birkenhead]","-0.696668089674009","-0.261124823043522","-0.0938746631140051","0.00033150646629243","0.187386500550823","fa_mar"
"b[(Intercept) Stock:Bowron]","-0.651508654243475","-0.273063397100929","-0.105550619090081","-0.000850166897215973","0.166492973870531","fa_mar"
"b[(Intercept) Stock:Chilko]","-0.208547968679016","-0.0105345230594631","0.0689858314846403","0.219399740544582","0.580298126060366","fa_mar"
"b[(Intercept) Stock:E.Stuart]","-0.408140125201665","-0.098427057616642","-0.00333768696790702","0.0790739485065189","0.359846324937898","fa_mar"
"b[(Intercept) Stock:Fennell]","-0.696385760638221","-0.290063264946639","-0.108200498431375","-0.00576500660684572","0.150046580199703","fa_mar"
"b[(Intercept) Stock:Gates]","-0.131125748883166","0.019695015386325","0.150491333282128","0.344904323707931","0.760019283554303","fa_mar"
"b[(Intercept) Stock:Harrison]","-0.116026430927699","0.0262408795572272","0.15972311234834","0.353281485219526","0.757551221582048","fa_mar"
"b[(Intercept) Stock:L.Shuswap]","-0.269723847392573","-0.0256562373167861","0.0455651964543563","0.169865316981774","0.529004930509222","fa_mar"
"b[(Intercept) Stock:L.Stuart]","-0.527965879538405","-0.182123920056859","-0.0501133152607457","0.024652840669239","0.246786852320355","fa_mar"
"b[(Intercept) Stock:Nadina]","-0.255494127748051","-0.0312348000305723","0.040632361926572","0.161540697960818","0.514528751158993","fa_mar"
"b[(Intercept) Stock:Pitt]","-0.33381172665501","-0.0401971493830144","0.0433026869360535","0.189077391829033","0.525859903027208","fa_mar"
"b[(Intercept) Stock:Portage]","-0.592797696247069","-0.229011079327682","-0.0789294359328556","0.0108358428757624","0.219229156114284","fa_mar"
"b[(Intercept) Stock:Quesnel]","-0.592992368690556","-0.231702848884364","-0.0786518729394646","0.00766773105987361","0.215060227389841","fa_mar"
"b[(Intercept) Stock:Raft]","-0.456469362471985","-0.141039762456658","-0.0218112621544216","0.054063760601775","0.303296896137107","fa_mar"
"b[(Intercept) Stock:Scotch]","-0.398228999895357","-0.0934329079106121","-0.000220757065466492","0.0932346925193786","0.383626309056985","fa_mar"
"b[(Intercept) Stock:Seymour]","-0.560204478978985","-0.198146696808767","-0.0574794446502311","0.0171966729424912","0.244359815125265","fa_mar"
"b[(Intercept) Stock:Stellako]","-0.454593053380033","-0.138993751629197","-0.0255067814651559","0.0440910861146064","0.267526287877384","fa_mar"
"b[(Intercept) Stock:Weaver]","-0.513029067821158","-0.174954280688878","-0.041631378623914","0.0302104770570767","0.253975061191841","fa_mar"
