"","V1","V2","V3"
"load_std","1.00096036638046","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00111595832938","arena2","Rhat"
"b[load_std Stock:Birkenhead]","1.00005925297688","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","1.00041441111189","arena2","Rhat"
"b[load_std Stock:Bowron]","0.999883365724269","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","1.00009221564482","arena2","Rhat"
"b[load_std Stock:Chilko]","1.00048832439425","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.99957223992462","arena2","Rhat"
"b[load_std Stock:E.Stuart]","0.999355495379489","arena2","Rhat"
"b[(Intercept) Stock:Fennell]","1.00130124845446","arena2","Rhat"
"b[load_std Stock:Fennell]","1.00062784532408","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00047562997972","arena2","Rhat"
"b[load_std Stock:Gates]","1.00083787374982","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00103794457826","arena2","Rhat"
"b[load_std Stock:Harrison]","1.00060099707919","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999313258289494","arena2","Rhat"
"b[load_std Stock:L.Shuswap]","0.999282525765249","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00159910181332","arena2","Rhat"
"b[load_std Stock:L.Stuart]","1.0003167608142","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","1.00006930384266","arena2","Rhat"
"b[load_std Stock:Nadina]","1.00010004760098","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","1.00048904904547","arena2","Rhat"
"b[load_std Stock:Pitt]","1.00175608381454","arena2","Rhat"
"b[(Intercept) Stock:Portage]","1.00109215524979","arena2","Rhat"
"b[load_std Stock:Portage]","1.00146468026917","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00176529319931","arena2","Rhat"
"b[load_std Stock:Quesnel]","1.000490595871","arena2","Rhat"
"b[(Intercept) Stock:Raft]","1.00125254312783","arena2","Rhat"
"b[load_std Stock:Raft]","0.999728374500848","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999507987937123","arena2","Rhat"
"b[load_std Stock:Scotch]","1.0005510807788","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.00097024915071","arena2","Rhat"
"b[load_std Stock:Seymour]","1.00060220014293","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","0.999679085605637","arena2","Rhat"
"b[load_std Stock:Stellako]","0.999930275216053","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999738205098748","arena2","Rhat"
"b[load_std Stock:Weaver]","0.999602905453452","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00042481390195","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00001433110875","arena2","Rhat"
"b[(Intercept) Year:2011]","0.999549194198405","arena2","Rhat"
"b[(Intercept) Year:2012]","1.00045605845648","arena2","Rhat"
"b[(Intercept) Year:2013]","1.00051814609469","arena2","Rhat"
"b[(Intercept) Year:2014]","1.00066119096347","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00080716309473","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00052844104327","arena2","Rhat"
"sigma","0.999592023454549","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00185479015073","arena2","Rhat"
"Sigma[Stock:load_std,(Intercept)]","1.00181167587175","arena2","Rhat"
"Sigma[Stock:load_std,load_std]","1.0023403057482","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","0.999675470067679","arena2","Rhat"
"mean_PPD","0.999851237345502","arena2","Rhat"
"log-posterior","1.00368945826607","arena2","Rhat"
"load_std","1.00150787056498","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00025017648306","c_b_cys","Rhat"
"b[load_std Stock:Birkenhead]","1.000435039266","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","1.0016267476668","c_b_cys","Rhat"
"b[load_std Stock:Bowron]","0.999846853926959","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00085749576273","c_b_cys","Rhat"
"b[load_std Stock:Chilko]","0.999423329229627","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999782249316509","c_b_cys","Rhat"
"b[load_std Stock:E.Stuart]","0.999499091233953","c_b_cys","Rhat"
"b[(Intercept) Stock:Fennell]","1.00005519839173","c_b_cys","Rhat"
"b[load_std Stock:Fennell]","0.999626041057644","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.00010770130866","c_b_cys","Rhat"
"b[load_std Stock:Gates]","0.999875527696854","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.000917004458","c_b_cys","Rhat"
"b[load_std Stock:Harrison]","1.00034005799619","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999872844529132","c_b_cys","Rhat"
"b[load_std Stock:L.Shuswap]","1.0006285836479","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999397316465792","c_b_cys","Rhat"
"b[load_std Stock:L.Stuart]","0.999712770621571","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","1.00004402320363","c_b_cys","Rhat"
"b[load_std Stock:Nadina]","0.999337418960187","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","0.999357080211412","c_b_cys","Rhat"
