"","V1","V2","V3"
"prev_std","1.00141860311907","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00002801986497","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","0.999375050142582","arena2","Rhat"
"b[(Intercept) Stock:Bowron]","1.00163095239061","arena2","Rhat"
"b[prev_std Stock:Bowron]","1.0005741205983","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","1.00119572529757","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999564193418451","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.0004114433156","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","0.999475741143697","arena2","Rhat"
"b[(Intercept) Stock:Fennell]","1.00119089130417","arena2","Rhat"
"b[prev_std Stock:Fennell]","1.00172844950938","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.00149203437598","arena2","Rhat"
"b[prev_std Stock:Gates]","1.00211240154514","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00080927760537","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.00060001467497","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00014994027699","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999514018102296","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.0003451933818","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","1.00011757119463","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","1.00191496010113","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999691959711366","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","0.999899167654748","arena2","Rhat"
"b[prev_std Stock:Pitt]","1.0025036965098","arena2","Rhat"
"b[(Intercept) Stock:Portage]","1.00004273921765","arena2","Rhat"
"b[prev_std Stock:Portage]","1.00179437533591","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999882843953133","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00016641011562","arena2","Rhat"
"b[(Intercept) Stock:Raft]","0.999523453455545","arena2","Rhat"
"b[prev_std Stock:Raft]","1.00026099081161","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","1.00079637031605","arena2","Rhat"
"b[prev_std Stock:Scotch]","0.999872081095557","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","1.00088108531685","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00147950834203","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","0.999550122913554","arena2","Rhat"
"b[prev_std Stock:Stellako]","0.999579507950856","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999077981238307","arena2","Rhat"
"b[prev_std Stock:Weaver]","1.0012178509406","arena2","Rhat"
"b[(Intercept) Year:2009]","1.00242035537116","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00031665610504","arena2","Rhat"
"b[(Intercept) Year:2011]","1.00236166819581","arena2","Rhat"
"b[(Intercept) Year:2012]","1.00110253701084","arena2","Rhat"
"b[(Intercept) Year:2013]","1.00000163343639","arena2","Rhat"
"b[(Intercept) Year:2014]","1.00047073556529","arena2","Rhat"
"b[(Intercept) Year:2015]","1.00005401480818","arena2","Rhat"
"b[(Intercept) Year:2016]","1.00142228477404","arena2","Rhat"
"sigma","1.00040535674177","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00317526359358","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00357677286721","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00412684098333","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.0001019728825","arena2","Rhat"
"mean_PPD","0.999156502889791","arena2","Rhat"
"log-posterior","1.00801399707141","arena2","Rhat"
"prev_std","1.00039742701724","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00037717887377","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","0.999903471507773","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","1.00029112243141","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","1.00057534651313","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","0.999641200979221","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","0.99990696649882","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999542106849103","c_b_cys","Rhat"
"b[prev_std Stock:E.Stuart]","0.999669002828321","c_b_cys","Rhat"
"b[(Intercept) Stock:Fennell]","1.00091721380036","c_b_cys","Rhat"
"b[prev_std Stock:Fennell]","0.999821288599925","c_b_cys","Rhat"
"b[(Intercept) Stock:Gates]","1.00065962083779","c_b_cys","Rhat"
"b[prev_std Stock:Gates]","0.999484922945428","c_b_cys","Rhat"
"b[(Intercept) Stock:Harrison]","1.00004823080638","c_b_cys","Rhat"
"b[prev_std Stock:Harrison]","0.999985528036018","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999577376693728","c_b_cys","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00077698136409","c_b_cys","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999763518695777","c_b_cys","Rhat"
"b[prev_std Stock:L.Stuart]","1.00089716276578","c_b_cys","Rhat"
"b[(Intercept) Stock:Nadina]","1.00116730017977","c_b_cys","Rhat"
"b[prev_std Stock:Nadina]","1.00100155617836","c_b_cys","Rhat"
"b[(Intercept) Stock:Pitt]","0.999270722862287","c_b_cys","Rhat"
"b[prev_std Stock:Pitt]","0.999312673527662","c_b_cys","Rhat"
"b[(Intercept) Stock:Portage]","0.999469654843195","c_b_cys","Rhat"
"b[prev_std Stock:Portage]","1.00042130613297","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00066752279149","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","1.000095016373","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","0.99953960265047","c_b_cys","Rhat"
"b[prev_std Stock:Raft]","1.00037997391676","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.999376592852067","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","0.999347554629685","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","1.0001170316674","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","0.999900616549068","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","0.999793363892171","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","1.00038527695708","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","1.00029022925131","c_b_cys","Rhat"
"b[prev_std Stock:Weaver]","1.00009875599838","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","1.00013047527512","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","1.00079071704866","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","1.0000425586111","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","1.00039185304878","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","1.00018567474296","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","1.00000804641228","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","1.00040898482815","c_b_cys","Rhat"
