BY,stock_name,early_sst_stnd
2007,E.Stuart,-1.044205812
2008,E.Stuart,-0.059705716
2009,E.Stuart,-0.118910256
2010,E.Stuart,-0.239463761
2011,E.Stuart,0.407624771
2012,E.Stuart,0.628312653
2013,E.Stuart,2.094770071
2014,E.Stuart,2.141241273
2007,L.Stuart,-1.043895081
2008,L.Stuart,-0.060861209
2009,L.Stuart,-0.120015294
2010,L.Stuart,-0.240384343
2011,L.Stuart,0.405714096
2012,L.Stuart,0.626102959
2013,L.Stuart,2.090277943
2014,L.Stuart,2.136678041
2007,Stellako,-1.04397986
2008,Stellako,-0.060994263
2009,Stellako,-0.120145786
2010,Stellako,-0.240508807
2011,Stellako,0.405557722
2012,Stellako,0.6259357
2013,Stellako,2.090038368
2014,Stellako,2.136436175
2007,Bowron,-1.044597025
2008,Bowron,-0.060508964
2009,Bowron,-0.119628676
2010,Bowron,-0.239945458
2011,Bowron,0.406658378
2012,Bowron,0.627281016
2013,Bowron,2.093009113
2014,Bowron,2.139458429
2007,Raft,-1.054718972
2008,Raft,-0.064441893
2009,Raft,-0.124036488
2010,Raft,-0.245303367
2011,Raft,0.405611713
2012,Raft,0.627643567
2013,Raft,2.102733924
2014,Raft,2.149479933
2007,Quesnel,-1.044686141
2008,Quesnel,-0.061918982
2009,Quesnel,-0.118783606
2010,Quesnel,-0.23942002
2011,Quesnel,0.408171045
2012,Quesnel,0.629369695
2013,Quesnel,2.096742645
2014,Quesnel,2.143253134
2007,Chilko,-1.018635552
2008,Chilko,-0.064837328
2009,Chilko,-0.124331047
2010,Chilko,-0.216737372
2011,Chilko,0.415654528
2012,Chilko,0.64061897
2013,Chilko,2.141271955
2014,Chilko,2.188318968
2007,Seymour,-1.043789673
2008,Seymour,-0.049031281
2009,Seymour,-0.108911271
2010,Seymour,-0.229534342
2011,Seymour,0.423108808
2012,Seymour,0.64612622
2013,Seymour,2.127764232
2014,Seymour,2.174717738
2007,L.Shuswap,-1.038799771
2008,L.Shuswap,-0.047199392
2009,L.Shuswap,-0.106754145
2010,L.Shuswap,-0.227987599
2011,L.Shuswap,0.423441815
2012,L.Shuswap,0.423441815
2013,L.Shuswap,2.118936669
2014,L.Shuswap,2.169489994
2007,Birkenhead,-1.05720698
2008,Birkenhead,-0.067665559
2009,Birkenhead,-0.127315497
2010,Birkenhead,-0.236850959
2011,Birkenhead,0.414388768
2012,Birkenhead,0.636058982
2013,Birkenhead,2.132857246
2014,Birkenhead,2.180043128
2007,Portage,-1.074353899
2008,Portage,-0.082894421
2009,Portage,-0.122950521
2010,Portage,-0.246924371
2011,Portage,0.418627215
2012,Portage,0.645659798
2013,Portage,2.153084779
2014,Portage,2.201771837
2007,Weaver,-1.107442989
2008,Weaver,-0.139463491
2009,Weaver,-0.197555063
2010,Weaver,-0.315399532
2011,Weaver,0.318747222
2012,Weaver,0.533389934
2013,Weaver,1.972991782
2014,Weaver,2.018679077
2007,Fennell,-0.912105103
2008,Fennell,-0.099177301
2009,Fennell,-0.157715836
2010,Fennell,-0.274176494
2011,Fennell,0.381923472
2012,Fennell,0.576042648
2013,Fennell,2.018654708
2014,Fennell,2.060793205
2007,Scotch,-1.128870264
2008,Scotch,-0.195457484
2009,Scotch,-0.251402089
2010,Scotch,-0.365727152
2011,Scotch,0.247566265
2012,Scotch,0.456830449
2013,Scotch,1.847097539
2014,Scotch,1.891165722
2007,Gates,-1.127413206
2008,Gates,-0.169092504
2009,Gates,-0.226880036
2010,Gates,-0.340917111
2011,Gates,0.287801917
2012,Gates,0.502001697
2013,Gates,1.932351907
2014,Gates,1.977623512
2007,Nadina,-1.301663076
2008,Nadina,-0.311284655
2009,Nadina,-0.370858144
2010,Nadina,-0.492108623
2011,Nadina,0.158811967
2012,Nadina,0.380852803
2013,Nadina,1.856002835
2014,Nadina,1.902750735
2007,Pitt,-1.047046825
2008,Pitt,-0.055888195
2009,Pitt,-0.114582666
2010,Pitt,-0.231419824
2011,Pitt,0.41847427
2012,Pitt,0.638709314
2013,Pitt,2.119153777
2014,Pitt,2.166069459
2007,Harrison,-1.966639174
2008,Harrison,-1.018779277
2009,Harrison,-0.009544259
2010,Harrison,-0.070296404
2011,Harrison,-0.193438082
2012,Harrison,0.469469618
2013,Harrison,0.694617898
2014,Harrison,2.198918434
