"","2.5","25","50","75","97.5","agent"
"prev_std","-1.0060189296252","-0.411818912290604","-0.203845417633039","0.0386608453506143","0.567093553838835","arena2"
"b.prev_std.Stock.Birkenhead.","-1.09286088504026","-0.49378393784269","-0.244715819023631","-0.000945325811127812","0.514105067244313","arena2"
"b.prev_std.Stock.Bowron.","-1.01904379173017","-0.410373548929054","-0.166939372569804","0.0744463194773771","0.57647747824084","arena2"
"b.prev_std.Stock.Chilko.","-1.07166665616309","-0.446888165524366","-0.188977182419112","0.0675758341565774","0.598602928296742","arena2"
"b.prev_std.Stock.E.Stuart.","-1.02010160596501","-0.393003513354691","-0.159226673120641","0.0820017161818373","0.607522650014012","arena2"
"b.prev_std.Stock.Fennell.","-0.935224850180548","-0.3772834521937","-0.130843232077555","0.110233951827514","0.654258045314552","arena2"
"b.prev_std.Stock.Gates.","-1.1779926177517","-0.554736916559942","-0.287116068599198","-0.0281948092619166","0.485172743791671","arena2"
"b.prev_std.Stock.Harrison.","-1.2598869897686","-0.567718388842623","-0.304965705606692","-0.0328615181507142","0.469820712604467","arena2"
"b.prev_std.Stock.L.Shuswap.","-1.11552835639879","-0.449391048239051","-0.205697983058019","0.0406362705604723","0.560685975949747","arena2"
"b.prev_std.Stock.L.Stuart.","-0.977087779636461","-0.369330216475854","-0.127712784135987","0.123192433387579","0.664100819410267","arena2"
"b.prev_std.Stock.Nadina.","-0.97117704149262","-0.378650931817493","-0.128217268352899","0.127338247897475","0.659929331334329","arena2"
"b.prev_std.Stock.Pitt.","-1.33404260272125","-0.68280461415126","-0.396950947163732","-0.116675079164562","0.399558913962065","arena2"
"b.prev_std.Stock.Portage.","-0.915325970944805","-0.337246366496347","-0.0967834780130802","0.148792448358835","0.678484692894368","arena2"
"b.prev_std.Stock.Quesnel.","-1.02058105434116","-0.383588135792325","-0.14356177816727","0.0930724986767486","0.634561435630202","arena2"
"b.prev_std.Stock.Raft.","-1.06689605258015","-0.469703327118545","-0.210991946677738","0.0368151309233316","0.533784306774239","arena2"
"b.prev_std.Stock.Scotch.","-1.07124551884083","-0.431565966380682","-0.175265598130846","0.0739570971374306","0.598514205916422","arena2"
"b.prev_std.Stock.Seymour.","-0.95743467391394","-0.368001235869494","-0.115874551425232","0.134467608088441","0.690209525394864","arena2"
"b.prev_std.Stock.Stellako.","-0.964726307710689","-0.400599334470016","-0.161358403901346","0.0873370364556322","0.655892281328386","arena2"
"b.prev_std.Stock.Weaver.","-1.04305967428414","-0.431119027105332","-0.184605606259819","0.053916605118577","0.585945586791784","arena2"
"prev_std","-0.961548609131805","-0.479501956134976","-0.250859463300503","-0.0203037901127246","0.464427985018921","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-1.11153873583655","-0.600497757428694","-0.330277153523274","-0.0635936342925319","0.474100856133586","c_b_cys"
"b.prev_std.Stock.Bowron.","-0.981014954099309","-0.421831231873743","-0.172455661350271","0.0979428329103387","0.625385875327497","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.94491768612553","-0.386012223274742","-0.130447505706302","0.145038129067411","0.750841525806764","c_b_cys"
"b.prev_std.Stock.E.Stuart.","-1.04580478897045","-0.506371129353856","-0.26001341070443","0.00251532489597108","0.568606247715786","c_b_cys"
"b.prev_std.Stock.Fennell.","-1.07196422145935","-0.538579952335396","-0.274308013494057","-0.00409343103846685","0.527643134916046","c_b_cys"
"b.prev_std.Stock.Gates.","-1.18465755778573","-0.625361118250468","-0.352502852597763","-0.0824632827464496","0.431750042256376","c_b_cys"
"b.prev_std.Stock.Harrison.","-1.08495878192765","-0.539005387691769","-0.275268937932741","-0.00486598765115243","0.502197693157021","c_b_cys"
"b.prev_std.Stock.L.Shuswap.","-1.33589018126714","-0.708830321161478","-0.410782632302427","-0.151663363139134","0.390053889511037","c_b_cys"
"b.prev_std.Stock.L.Stuart.","-0.951720303914275","-0.398380119601023","-0.143719251439832","0.107865419394276","0.712133962346858","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.949641974419137","-0.424527213780717","-0.192672251785085","0.0689602999658234","0.649994675336336","c_b_cys"
"b.prev_std.Stock.Pitt.","-1.16404620435808","-0.596676327715505","-0.346584803911464","-0.0830654483381305","0.440267192840763","c_b_cys"
"b.prev_std.Stock.Portage.","-0.938892640358928","-0.430066441933323","-0.173386347449668","0.0889414596018452","0.651530526169523","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.910962386812653","-0.402749221113284","-0.144807225246197","0.109318678696169","0.689068210840939","c_b_cys"
"b.prev_std.Stock.Raft.","-0.93426659296052","-0.416583470812909","-0.177449577904627","0.0877719913187437","0.656656452042915","c_b_cys"
"b.prev_std.Stock.Scotch.","-1.06948370636589","-0.589750720874033","-0.316469146837363","-0.0545101660874637","0.483600777618759","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.950109037173286","-0.450258648418172","-0.19387467883439","0.0708111732503937","0.622193351824474","c_b_cys"
"b.prev_std.Stock.Stellako.","-0.899917389835328","-0.368842535460514","-0.11349946188296","0.154410114980698","0.691962167951755","c_b_cys"
"b.prev_std.Stock.Weaver.","-1.27190508940138","-0.689339436352499","-0.417425928638451","-0.138701411713107","0.382407994915687","c_b_cys"
"prev_std","-0.502045000734571","-0.0057485141397911","0.213323102039255","0.425037461069003","0.888683601957186","ce_sha"
"b.prev_std.Stock.Birkenhead.","-0.548966993955217","-0.0150773680851358","0.219050875471682","0.436493533267691","0.937509999427329","ce_sha"
"b.prev_std.Stock.Bowron.","-0.584727933435874","-0.0624282856886279","0.162471683019697","0.397808832220335","0.880133643845952","ce_sha"
"b.prev_std.Stock.Chilko.","-0.557702420529198","-0.0668177616628359","0.166277344215749","0.397875232751774","0.898181674215405","ce_sha"
"b.prev_std.Stock.E.Stuart.","-0.522466991982385","0.00199520217453245","0.227708158660722","0.456443515708382","0.949167616632563","ce_sha"
"b.prev_std.Stock.Fennell.","-0.505137766033194","0.0108317334628396","0.238111079563456","0.487906090076881","0.990264602580957","ce_sha"
"b.prev_std.Stock.Gates.","-0.504119587888484","-0.00294502791012084","0.226466116828268","0.443713882989548","0.957014777103636","ce_sha"
"b.prev_std.Stock.Harrison.","-0.529776040280976","-0.00104155562265463","0.225994614138138","0.460503485445081","0.92656254856236","ce_sha"
"b.prev_std.Stock.L.Shuswap.","-0.490917819251783","0.0349901927172021","0.273199859000962","0.508047964149256","1.03319706325739","ce_sha"
"b.prev_std.Stock.L.Stuart.","-0.543138406735492","-0.0469098121542964","0.192768442328662","0.408784968694821","0.902405186315339","ce_sha"
"b.prev_std.Stock.Nadina.","-0.545303089949675","-0.0360864129369482","0.197664567730195","0.436201866294171","0.912945171172509","ce_sha"
"b.prev_std.Stock.Pitt.","-0.539391360741691","-0.00110391160220284","0.226092493528181","0.462211813684009","0.978169710771564","ce_sha"
"b.prev_std.Stock.Portage.","-0.569195912149089","-0.0379929433281375","0.179792267616122","0.416566125923673","0.892528512939364","ce_sha"
"b.prev_std.Stock.Quesnel.","-0.560054234243748","-0.0720227304416521","0.153614876763787","0.384786852657222","0.876370998104681","ce_sha"
