"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"1","load_std",-0.743873296738718,-0.365159805496629,-0.216993826433422,-0.044106906329767,0.0972053454747583,0.333786269071901,"arena2","Global"
"2","b.load_std.Stock.Birkenhead.",-0.918015655914473,-0.488195880608347,-0.306772863553193,-0.11002957020009,0.0634950396933121,0.304450794047363,"arena2","Birkenhead"
"3","b.load_std.Stock.Bowron.",-0.741599525722077,-0.328874881319619,-0.17047401744195,0.0298631826412825,0.175900474723538,0.414912958414573,"arena2","Bowron"
"4","b.load_std.Stock.Chilko.",-0.791563842257093,-0.365507960420184,-0.20431964522021,-0.0118681726804559,0.137043962177236,0.382987825552617,"arena2","Chilko"
"5","b.load_std.Stock.E.Stuart.",-0.747440106123648,-0.354222006698411,-0.187504854574748,-0.000570503644268426,0.155606300083426,0.410976205514819,"arena2","E.Stuart"
"6","b.load_std.Stock.Fennell.",-0.738905938407428,-0.313449534738886,-0.140854020074417,0.0539625836739674,0.211988777919596,0.463406218716229,"arena2","Fennell"
"7","b.load_std.Stock.Gates.",-0.970395779521283,-0.566595412562587,-0.370626359784363,-0.163082143323217,-0.00465174963415238,0.250365928312356,"arena2","Gates"
"8","b.load_std.Stock.Harrison.",-1.00160532080933,-0.565060068244842,-0.383324571766877,-0.164732939251779,0.00418636273988775,0.246128190845576,"arena2","Harrison"
"9","b.load_std.Stock.L.Shuswap.",-0.810016256473415,-0.414269161870388,-0.24911993629018,-0.0581327762239444,0.125329810601778,0.373664595147431,"arena2","L.Shuswap"
"10","b.load_std.Stock.L.Stuart.",-0.692462083255778,-0.314929428983201,-0.1483818394163,0.0597723565372072,0.223188477576234,0.474359657659344,"arena2","L.Stuart"
"11","b.load_std.Stock.Nadina.",-0.710700305630076,-0.313331338588322,-0.144497123766788,0.0528631384224638,0.226626278284961,0.459925443112252,"arena2","Nadina"
"12","b.load_std.Stock.Pitt.",-1.26299157684115,-0.748558877938374,-0.523906720806394,-0.299710843212698,-0.110524362229859,0.131489720739269,"arena2","Pitt"
"13","b.load_std.Stock.Portage.",-0.68414572475363,-0.256118517493939,-0.0828556388015854,0.101925681641817,0.276799392775032,0.527451724287919,"arena2","Portage"
"14","b.load_std.Stock.Quesnel.",-0.73077797537562,-0.323034664010687,-0.150279258280168,0.0322651142971021,0.180453975912863,0.454174448032374,"arena2","Quesnel"
"15","b.load_std.Stock.Raft.",-0.856202585357531,-0.421006072746087,-0.244228852974983,-0.0547739894353602,0.0966703765732383,0.333251449857197,"arena2","Raft"
"16","b.load_std.Stock.Scotch.",-0.761315945903022,-0.357698568133759,-0.199977586588761,-0.0039660420223825,0.164054185692069,0.392300973122271,"arena2","Scotch"
"17","b.load_std.Stock.Seymour.",-0.684561310234952,-0.270685564030373,-0.113171731008462,0.0713918977387947,0.233583576900338,0.493512273858112,"arena2","Seymour"
"18","b.load_std.Stock.Stellako.",-0.711555946966092,-0.327102461039556,-0.158448752959247,0.0267148174964143,0.187534148146161,0.436492184459136,"arena2","Stellako"
"19","b.load_std.Stock.Weaver.",-0.793010781060151,-0.375019958807972,-0.204086381301023,-0.0196875639545664,0.130952061256626,0.38493206822639,"arena2","Weaver"
"20","load_std",-0.467331615345698,-0.0942995567690999,0.0425370210470501,0.209172096348568,0.356352329663566,0.56684048513167,"c_b_cys","Global"
"21","b.load_std.Stock.Birkenhead.",-0.517708936406479,-0.13469978343662,0.0191085460895233,0.199504854260243,0.346798446886142,0.575981944076797,"c_b_cys","Birkenhead"
"22","b.load_std.Stock.Bowron.",-0.461781199889916,-0.0826128848597339,0.0632999685281778,0.241735139680425,0.373105097550212,0.610220948328588,"c_b_cys","Bowron"
"23","b.load_std.Stock.Chilko.",-0.512183672641508,-0.115336967502795,0.0392774067591718,0.222194585568786,0.36732138792709,0.597939874287241,"c_b_cys","Chilko"
"24","b.load_std.Stock.E.Stuart.",-0.497870101568777,-0.120697095684931,0.0302846122501538,0.20482802973784,0.359567125576865,0.599083338314423,"c_b_cys","E.Stuart"
"25","b.load_std.Stock.Fennell.",-0.521178582276345,-0.108519328249404,0.0370502347389824,0.209041665353704,0.355711829848065,0.582191903458633,"c_b_cys","Fennell"
"26","b.load_std.Stock.Gates.",-0.491000627576423,-0.0853444026094695,0.0642857726058912,0.231750034702246,0.394589026819843,0.617931491205891,"c_b_cys","Gates"
"27","b.load_std.Stock.Harrison.",-0.495882061606705,-0.127105685071136,0.033679588257314,0.207389426226805,0.360039458296794,0.60736181591049,"c_b_cys","Harrison"
"28","b.load_std.Stock.L.Shuswap.",-0.510682842767021,-0.11485547128332,0.0315824854857774,0.217200843018675,0.367073725801149,0.607659103632787,"c_b_cys","L.Shuswap"
"29","b.load_std.Stock.L.Stuart.",-0.49846631345336,-0.11823904432384,0.0464734301887449,0.21761633611159,0.357998809423162,0.583838312688436,"c_b_cys","L.Stuart"
"30","b.load_std.Stock.Nadina.",-0.480656562532653,-0.0973881429276067,0.0544975435091242,0.239608789154142,0.381278847943347,0.616546014573387,"c_b_cys","Nadina"
"31","b.load_std.Stock.Pitt.",-0.535607633418084,-0.165333858286241,-0.00692598833426342,0.172295793041951,0.314450885014694,0.549361782640976,"c_b_cys","Pitt"
"32","b.load_std.Stock.Portage.",-0.472385247284313,-0.108742745648594,0.0541637456565252,0.229912910623189,0.381272891990701,0.603466914176118,"c_b_cys","Portage"
"33","b.load_std.Stock.Quesnel.",-0.49929746073633,-0.103814715285224,0.0360452525317415,0.209247869467534,0.363061969593436,0.597002052727789,"c_b_cys","Quesnel"
"34","b.load_std.Stock.Raft.",-0.538423186887856,-0.148737737245152,-0.00293209492677933,0.1840965217425,0.325577938689876,0.559751560800269,"c_b_cys","Raft"
"35","b.load_std.Stock.Scotch.",-0.482266233491793,-0.0978413433641403,0.0488595288102681,0.23398319752112,0.376816867011334,0.608524637321282,"c_b_cys","Scotch"
"36","b.load_std.Stock.Seymour.",-0.501753918118221,-0.0929040478410399,0.044370746921757,0.220290311394164,0.375256797919371,0.605874581254155,"c_b_cys","Seymour"
"37","b.load_std.Stock.Stellako.",-0.458895424629613,-0.0876865237016344,0.0604352513335801,0.240012898054884,0.390912221646155,0.62406085763494,"c_b_cys","Stellako"
"38","b.load_std.Stock.Weaver.",-0.492710094908268,-0.105599917718677,0.0490925864184502,0.233363475088113,0.387668270680419,0.613030834547373,"c_b_cys","Weaver"
"39","load_std",-0.470500487451756,-0.129952062845071,0.0269573845543206,0.202621754166906,0.342056058160539,0.567462013757991,"ce_sha","Global"
"40","b.load_std.Stock.Birkenhead.",-0.441509875890747,-0.113854682655667,0.052405374839743,0.231923507574456,0.389950817020937,0.651251058012,"ce_sha","Birkenhead"
"41","b.load_std.Stock.Bowron.",-0.453603889396912,-0.108239627530141,0.052204359992686,0.237810166910687,0.391342028670225,0.645581429480288,"ce_sha","Bowron"
"42","b.load_std.Stock.Chilko.",-0.526599421887867,-0.162678750408744,0.00772516788565448,0.190614407171043,0.341140577591047,0.582099312818391,"ce_sha","Chilko"
"43","b.load_std.Stock.E.Stuart.",-0.508605079210329,-0.164556147540508,0.000157361526420023,0.172079836793103,0.332099219442468,0.569539534926416,"ce_sha","E.Stuart"
"44","b.load_std.Stock.Fennell.",-0.521331685165787,-0.163843816721393,0.00165499521644636,0.188469580817571,0.337701641860103,0.566837192840325,"ce_sha","Fennell"
"45","b.load_std.Stock.Gates.",-0.465371224504015,-0.101002941542917,0.0534237410910293,0.241957990750431,0.401131752215954,0.640574934832419,"ce_sha","Gates"
"46","b.load_std.Stock.Harrison.",-0.503928926920264,-0.148144939250452,0.00889965542036162,0.191555038134079,0.34162586913356,0.573160190097066,"ce_sha","Harrison"
"47","b.load_std.Stock.L.Shuswap.",-0.430928097166669,-0.0704931325373601,0.0818633295828844,0.272714326571282,0.429323574005265,0.678347213263688,"ce_sha","L.Shuswap"
"48","b.load_std.Stock.L.Stuart.",-0.538999239173572,-0.174868192352073,-0.0213198133008544,0.168172063985288,0.311166376101282,0.552259312644384,"ce_sha","L.Stuart"
"49","b.load_std.Stock.Nadina.",-0.512004983772621,-0.17418580645737,-0.00447942440274194,0.181370258861736,0.336070691338442,0.580852758424364,"ce_sha","Nadina"
"50","b.load_std.Stock.Pitt.",-0.503538671100435,-0.129371534012121,0.0263739338408312,0.207069826475603,0.363712293198372,0.604395933386594,"ce_sha","Pitt"
"51","b.load_std.Stock.Portage.",-0.485562202808231,-0.131971094878395,0.026362361725984,0.205877246102737,0.365452258547599,0.608375113349947,"ce_sha","Portage"
"52","b.load_std.Stock.Quesnel.",-0.442307256536226,-0.11135767015014,0.0631043739962979,0.237620561895482,0.392864893075161,0.642137107505375,"ce_sha","Quesnel"
