"","2.5","25","50","75","97.5"
"prev",-4.1610742054376,-2.89026598452172,-2.43229400584739,-1.89694950333809,-0.64190822539762
"b.prev.Stock_Analysis.Birkenhead.",-4.32060396728141,-3.00094817741776,-2.47941830645174,-1.90945647956912,-0.488029484209475
"b.prev.Stock_Analysis.Bowron.",-4.55965086927022,-3.06088970059535,-2.52181063788209,-1.97812494226121,-0.555723258927069
"b.prev.Stock_Analysis.Chilko.",-4.22019385932373,-2.8650186449303,-2.33639118299651,-1.76804124526776,-0.251201629149726
"b.prev.Stock_Analysis.E.Stuart.",-4.2345478155513,-2.90723650686444,-2.39586567630828,-1.85032242548505,-0.440315593913034
"b.prev.Stock_Analysis.Fennell.",-4.48362862098392,-3.05069378725281,-2.50547940204178,-1.97244634687397,-0.625146288583532
"b.prev.Stock_Analysis.Gates.",-4.17976940686004,-2.86877599873318,-2.34757462760183,-1.74028491334726,-0.321191842628827
"b.prev.Stock_Analysis.Harrison.",-4.17614525688011,-2.84860785467098,-2.3026454650415,-1.72609758095442,-0.358859197589602
"b.prev.Stock_Analysis.L.Shuswap.",-4.54485031120608,-3.04381457560494,-2.5096036628391,-1.94652908813044,-0.725447286600877
"b.prev.Stock_Analysis.L.Stuart.",-4.20244554523589,-2.89293928038984,-2.37196989149337,-1.82247455455194,-0.335681746798301
"b.prev.Stock_Analysis.Nadina.",-4.27535315742461,-2.95151247191781,-2.41470919529133,-1.83562611496131,-0.43985878413996
"b.prev.Stock_Analysis.Pitt.",-4.12607355887114,-2.8528836606149,-2.33368759127961,-1.76050284627256,-0.154821158849852
"b.prev.Stock_Analysis.Portage.",-4.45994814320341,-3.04348177657512,-2.50987049837388,-1.94178228341758,-0.549338111818416
"b.prev.Stock_Analysis.Quesnel.",-4.47608939643583,-2.95805244240785,-2.44143159185486,-1.91194204530501,-0.56064097769256
"b.prev.Stock_Analysis.Raft.",-4.23412254638272,-2.88609199717653,-2.38748948808137,-1.80406313707202,-0.37286845242694
"b.prev.Stock_Analysis.Scotch.",-4.34940728658555,-2.98274453978437,-2.46154319916945,-1.94284768901429,-0.497197320801467
"b.prev.Stock_Analysis.Seymour.",-4.36297279743695,-2.98554469010607,-2.44359337317688,-1.91626807943426,-0.574402040705092
"b.prev.Stock_Analysis.Stellako.",-4.25201681314704,-2.9410749452483,-2.422970934195,-1.86983768217073,-0.482687980465528
"b.prev.Stock_Analysis.Weaver.",-4.62419414578408,-3.02799763865682,-2.53266820392318,-1.97660427207768,-0.687370641958745
