"","X","X5","X25","X40","X60","X75","X90","agent","stock"
"1","prev_std",-0.81694238904867,-0.411818912290604,-0.278465757525239,-0.109725833697664,0.0386608453506143,0.233841259576524,"arena2","Global"
"2","b.prev_std.Stock.Birkenhead.",-0.905835486238929,-0.49378393784269,-0.337729977692662,-0.149792201605189,-0.000945325811127812,0.221981414049077,"arena2","Birkenhead"
"3","b.prev_std.Stock.Bowron.",-0.817125984535396,-0.410373548929054,-0.257491677617975,-0.0763919950171069,0.0744463194773771,0.309380753732541,"arena2","Bowron"
"4","b.prev_std.Stock.Chilko.",-0.852789405509878,-0.446888165524366,-0.282809003983893,-0.0887948048871712,0.0675758341565774,0.278092671612165,"arena2","Chilko"
"5","b.prev_std.Stock.E.Stuart.",-0.829678507764457,-0.393003513354691,-0.249879659291553,-0.069184889994992,0.0820017161818373,0.317574439599189,"arena2","E.Stuart"
"6","b.prev_std.Stock.Fennell.",-0.780012115975835,-0.3772834521937,-0.228760672266335,-0.049647975327293,0.110233951827514,0.338199404984987,"arena2","Fennell"
"7","b.prev_std.Stock.Gates.",-1.02638601863813,-0.554736916559942,-0.38426092420208,-0.181313756861209,-0.0281948092619166,0.191365597050113,"arena2","Gates"
"8","b.prev_std.Stock.Harrison.",-1.05952422193291,-0.567718388842623,-0.404455337017131,-0.204401356018542,-0.0328615181507142,0.181809625437775,"arena2","Harrison"
"9","b.prev_std.Stock.L.Shuswap.",-0.898538561055422,-0.449391048239051,-0.290417752256104,-0.1199347876815,0.0406362705604723,0.26237622609748,"arena2","L.Shuswap"
"10","b.prev_std.Stock.L.Stuart.",-0.791720119511645,-0.369330216475854,-0.224143213025059,-0.0308205382327594,0.123192433387579,0.374638876797815,"arena2","L.Stuart"
"11","b.prev_std.Stock.Nadina.",-0.812771715324573,-0.378650931817493,-0.227104892169084,-0.0300693937770315,0.127338247897475,0.383759355034742,"arena2","Nadina"
"12","b.prev_std.Stock.Pitt.",-1.19032211510811,-0.68280461415126,-0.503319460290008,-0.276389479045421,-0.116675079164562,0.100364026702879,"arena2","Pitt"
"13","b.prev_std.Stock.Portage.",-0.74311766916971,-0.337246366496347,-0.192130815275982,-0.0112934987323346,0.148792448358835,0.394808492239185,"arena2","Portage"
"14","b.prev_std.Stock.Quesnel.",-0.79399408821541,-0.383588135792325,-0.231254308649433,-0.0475479320403379,0.0930724986767486,0.338468185245312,"arena2","Quesnel"
"15","b.prev_std.Stock.Raft.",-0.86338259733605,-0.469703327118545,-0.303713458288597,-0.118907905553223,0.0368151309233316,0.256265055805888,"arena2","Raft"
