stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits		Return
E.Stuart	1	1948	19979	10858.848			0	0	0	0	179412	0		18741	0	0	0	198153	198153		0.905421568
E.Stuart	1	1949	582228	168471.1837			0	0	6218	0	1029437	42		1271	0	0	0	1030708	1036968		0.998766867
E.Stuart	1	1950	59443	25657.9205			0	0	579	0	240545	0		542	0	0	0	241087	241666		0.997751849
E.Stuart	1	1951	61070	29801.2067			0	0	9	0	158428	0		15217	0	0	0	173645	173654		0.912367186
E.Stuart	1	1952	40652	19750.7686			0	0	28	0	78012	0		10560	0	0	0	88572	88600		0.880774963
E.Stuart	1	1953	154586	78293.6337			0	0	294	0	537711	0		2886	0	0	0	540597	540891		0.994661458
E.Stuart	1	1954	38482	19757.0752			0	0	341	0	154781	0		701	0	0	0	155482	155823		0.99549144
E.Stuart	1	1955	2290	1448.0714			0	0	11	0	25824	0		1632	0	0	0	27456	27467		0.940559441
E.Stuart	1	1956	33005	20807.5482			0	0	0	0	101035	0		6393	2966	0	0	110394	110394		0.915221842
E.Stuart	1	1957	236376	119724.0694			0	0	730	0	1215763	23		3272	3148	0	0	1222183	1222936		0.994747104
E.Stuart	1	1958	43696	24988.2139			0	0	755	0	102112	0		240	0	0	0	102352	103107		0.997655151
E.Stuart	1	1959	4110	1953.5824			0	0	0	0	14682	0		6153	0	0	0	20835	20835		0.704679626
E.Stuart	1	1960	20021	10173.64			0	0	22	0	69925	0		4202	0	0	0	74127	74149		0.943313503
E.Stuart	1	1961	199915	87945.2055			0	0	630	0	252123	0		2208	881	0	0	255212	255842		0.987896337
E.Stuart	1	1962	39796	20497.6678			0	0	0	0	67661	0		5992	2132	0	0	75785	75785		0.892802006
E.Stuart	1	1963	11497	4772.7692			0	0	332	0	90397	0		1825	0	0	0	92222	92554		0.980210796
E.Stuart	1	1964	22401	9511.241			0	0	1027	0	25940	0		12949	2971	0	0	41860	42887		0.619684663
E.Stuart	1	1965	26832	12769.5179			0	0	432	0	415253	0		1526	0	0	0	416779	417211		0.996338587
E.Stuart	1	1966	43295	21189.6618			0	0	1746	0	83040	0		0	0	0	0	83040	84786		1
E.Stuart	1	1967	26782	13499.0514			0	0	423	0	326142	0		13128	0	0	0	339270	339693		0.961305155
E.Stuart	1	1968	12049	4680.7652			0	0	11	0	10412	0		0	0	0	0	10412	10423		1
E.Stuart	1	1969	111739	49646.8589			0	0	648	0	1366181	76		4452	4237	0	0	1374870	1375594		0.99368013
E.Stuart	1	1970	37451	17958.4178			0	0	1212	0	178232	0		1312	1380	0	0	180924	182136		0.985120824
E.Stuart	1	1971	98522	45881.9066			0	0	311	0	423510	0		6993	396	0	0	430899	431210		0.98285213
E.Stuart	1	1972	15115	5479.9305			0	0	25	0	32207	0		0	0	0	0	32207	32232		1
E.Stuart	1	1973	305824	155913.8622			0	0	4591	0	1342456	67		3951	1017	0	0	1347424	1352082		0.996312965
E.Stuart	1	1974	50436	26488.9826			0	0	1242	0	141307	0		2218	477	0	0	144002	145244		0.981284982
E.Stuart	1	1975	74165	29132.3166			0	0	150	0	220007	0		2852	76	0	0	222935	223085		0.986866127
E.Stuart	1	1976	34192	16365.3306			0	0	43	0	28800	0		3034	0	0	0	31834	31877		0.904693095
E.Stuart	1	1977	128880	58462.8674			0	0	572	0	752467	0		8655	0	0	0	761122	761694		0.98862863
E.Stuart	1	1978	62897	24094.2563			0	0	202	0	71470	0		1180	0	0	0	72650	72852		0.983757743
E.Stuart	1	1979	101451	39842.2132			0	0	34	0	89807	0		17889	206	0	0	107902	107936		0.832301533
E.Stuart	1	1980	44518	19388.0574			0	0	10	0	37950	0		25541	0	0	0	63491	63501		0.597722512
E.Stuart	1	1981	148967	76369.4853			0	0	46	0	331290	0		18805	0	0	0	350095	350141		0.946286008
E.Stuart	1	1982	30734	14331.4336			0	0	13	0	26796	0		1007	0	0	0	27803	27816		0.963780887
E.Stuart	1	1983	40244	21084.9971			0	0	423	0	176760	4		10949	760	0	0	188469	188896		0.937873072
E.Stuart	1	1984	76087	31882.3226			0	0	240	0	209867	12		29536	2385	0	0	241788	242040		0.867979387
E.Stuart	1	1985	245431	121107.4069			0	0	2414	0	1179879	0		26057	527	0	0	1206463	1208877		0.977965342
E.Stuart	1	1986	48267	23248.1413			0	0	56	0	128280	0		17603	3	0	0	145886	145942		0.879316727
E.Stuart	1	1987	165302	83393.6618			0	0	8	0	494847	0		31065	0	0	0	525912	525920		0.940931182
E.Stuart	1	1988	233897	106697.8571			0	0	33	0	319342	0		59894	0	0	663	379899	379932		0.840597106
E.Stuart	1	1989	412573	225963.1775			0	0	420	0	1091749	0		45932	688	0	0	1138369	1138789		0.959046671
E.Stuart	1	1990	122415	58832.7197			0	0	2	0	156963	0		9121	0	0	0	166084	166086		0.945082007
E.Stuart	1	1991	171032	97510.0768			0	0	514	0	129192	0		14581	172	0	0	143945	144459		0.897509465
E.Stuart	1	1992	115964	47236.907			0	0	10	0	80797	0		19569	0	0	0	100366	100376		0.805023614
E.Stuart	1	1993	726403	405910.6586			0	0	847	0	1652166	0		161770	0	0	0	1813936	1814783		0.910818243
E.Stuart	1	1994	43147	20163.5995			0	0	6	0	27990	0		1034	0	0	0	29024	29030		0.964374311
E.Stuart	1	1995	149107	66257.8308			0	0	20	0	170595	0		18985	0	0	0	189580	189600		0.89985758
E.Stuart	1	1996	192333	57093.47			0	0	0	0	359206	0		104940	0	0	0	464146	464146		0.773907348
E.Stuart	1	1997	283587	80429.1152			0	0	1	0	109249	0		38121	201	0	0	147571	147572		0.740314832
E.Stuart	1	1998	66520	23688.9817			0	0	2	0	24341	0		4349	0	0	0	28690	28692		0.848414082
E.Stuart	1	1999	35532	12260.2908			0	0	0	0	25927	0		4639	0	0	0	30566	30566		0.84823006
E.Stuart	1	2000	180517	52688.8964			0	0	0	0	132457	0		3417	0	0	0	135874	135874		0.974851701
