stock_name	Stock.ID	BY	total_adult_spawner	total_effective_female_spawner	juv_type	juvenile_estimate	age.21	age.31 	age.32 	age.41	age.42	age.43	age.51	age.52	age.53	age.62 	age.63	recruits_no_jacks	total_recruits_psc	total_recruits	prop_4s
E.Stuart	1	1948	19979	10859			0	0	0	0	179412	0	0	18741	0	0	0	198153	198153	198153	0.905421568
E.Stuart	1	1949	582228	168471			0	0	6218	0	1029437	42	0	1271	0	0	0	1030708	1036968	1036968	0.998766867
E.Stuart	1	1950	59104	25658			0	0	579	0	240545	0	0	542	0	0	0	241087	241666	241666	0.997751849
E.Stuart	1	1951	60423	29787			0	0	9	0	158428	0	0	15217	0	0	0	173645	173654	173654	0.912367186
E.Stuart	1	1952	29925	15483			0	0	28	0	78012	0	0	10560	0	0	0	88572	88600	88600	0.880774963
E.Stuart	1	1953	154036	78332			0	0	294	0	537711	0	0	2886	0	0	0	540597	540891	540891	0.994661458
E.Stuart	1	1954	35050	18010			0	0	341	0	154781	0	0	701	0	0	0	155482	155823	155823	0.99549144
E.Stuart	1	1955	2159	1397			0	0	11	0	25824	0	0	1632	0	0	0	27456	27467	27467	0.940559441
E.Stuart	1	1956	25020	16662			0	0	0	0	101035	0	0	6393	2966	0	0	110394	110394	110394	0.940490375
E.Stuart	1	1957	234850	119278			0	0	730	0	1215763	23	0	3272	3148	0	0	1222183	1222936	1222936	0.99731591
E.Stuart	1	1958	38807	22196			0	0	755	0	102112	0	0	240	0	0	0	102352	103107	103107	0.997655151
E.Stuart	1	1959	2670	1297			0	0	0	0	14682	0	0	6153	0	0	0	20835	20835	20835	0.704679626
E.Stuart	1	1960	14447	7401			0	0	22	0	69925	0	0	4202	0	0	0	74127	74149	74149	0.943313503
E.Stuart	1	1961	198921	87809			0	0	630	0	252123	0	0	2208	881	0	0	255212	255842	255842	0.9913184
E.Stuart	1	1962	26716	14075			0	0	0	0	67661	0	0	5992	2132	0	0	75785	75785	75785	0.918645541
E.Stuart	1	1963	4607	2590			0	0	332	0	90397	0	0	1825	0	0	0	92222	92554	92554	0.980210796
E.Stuart	1	1964	2390	1300			0	0	1027	0	25940	0	0	12949	2971	0	0	41860	42887	42887	0.667026666
E.Stuart	1	1965	23045	11242			0	0	432	0	415253	0	0	1526	0	0	0	416779	417211	417211	0.996338587
E.Stuart	1	1966	10830	5959			0	0	1746	0	83040	0	0	0	0	0	0	83040	84786	84786	1
E.Stuart	1	1967	21044	11167			0	0	423	0	326142	0	0	13128	0	0	0	339270	339693	339693	0.961305155
E.Stuart	1	1968	1522	793			0	0	11	0	10412	0	0	0	0	0	0	10412	10423	10423	1
E.Stuart	1	1969	109655	48687			0	0	648	0	1366181	76	0	4452	4237	0	0	1374870	1375594	1375594	0.996751866
E.Stuart	1	1970	32578	15806			0	0	1212	0	178232	0	0	1312	1380	0	0	180924	182136	182136	0.992692599
E.Stuart	1	1971	95940	45612			0	0	311	0	423510	0	0	6993	396	0	0	430899	431210	431210	0.983756211
E.Stuart	1	1972	4657	2253			0	0	25	0	32207	0	0	0	0	0	0	32207	32232	32232	1
E.Stuart	1	1973	299892	153870			0	0	4591	0	1342456	67	0	3951	1017	0	0	1347424	1352082	1352082	0.997065523
E.Stuart	1	1974	39518	21603			0	0	1242	0	141307	0	0	2218	477	0	0	144002	145244	145244	0.984546246
E.Stuart	1	1975	65752	26248			0	0	150	0	220007	0	0	2852	76	0	0	222935	223085	223085	0.987202671
E.Stuart	1	1976	11761	6792			0	0	43	0	28800	0	0	3034	0	0	0	31834	31877	31877	0.904693095
E.Stuart	1	1977	117445	53381			0	0	572	0	752467	0	0	8655	0	0	0	761122	761694	761694	0.98862863
E.Stuart	1	1978	50004	20005			0	0	202	0	71470	0	0	1180	0	0	0	72650	72852	72852	0.983757743
E.Stuart	1	1979	92746	36172			0	0	34	0	89807	0	0	17889	206	0	0	107902	107936	107936	0.833893552
E.Stuart	1	1980	16939	7361			0	0	10	0	37950	0	0	25541	0	0	0	63491	63501	63501	0.597722512
E.Stuart	1	1981	129457	67227			0	0	46	0	331290	0	0	18805	0	0	0	350095	350141	350141	0.946286008
E.Stuart	1	1982	4557	2158			0	0	13	0	26796	0	0	1007	0	0	0	27803	27816	27816	0.963780887
E.Stuart	1	1983	23867	13121			0	0	423	0	176760	4	0	10949	760	0	0	188469	188896	188896	0.941670351
E.Stuart	1	1984	45201	21868			0	0	240	0	209867	12	0	29536	2385	0	0	241788	242040	242040	0.876626442
E.Stuart	1	1985	234219	116610			0	0	2414	0	1179879	0	0	26057	527	0	0	1206463	1208877	1208877	0.978392717
E.Stuart	1	1986	28584	15219			0	0	56	0	128280	0	0	17603	3	0	0	145886	145942	145942	0.879334809
E.Stuart	1	1987	148194	75970			0	0	8	0	494847	0	0	31065	0	0	0	525912	525920	525920	0.940931182
E.Stuart	1	1988	179807	88069			0	0	33	0	319342	0	0	59894	0	0	663	379899	379932	379932	0.842066681
E.Stuart	1	1989	384799	211039			0	0	420	0	1091749	0	0	45932	688	0	0	1138369	1138789	1138789	0.959626644
E.Stuart	1	1990	97035	47063	fry leaving 	27908219	0	0	2	0	156963	0	0	9121	0	0	0	166084	166086	166086	0.945082007
E.Stuart	1	1991	141119	85454	stream for lake	56034423	0	0	514	0	129192	0	0	14581	172	0	0	143945	144459	144459	0.898583183
E.Stuart	1	1992	66098	36564	brood year 	14209159	0	0	10	0	80797	0	0	19569	0	0	0	100366	100376	100376	0.805023614
E.Stuart	1	1993	688013	386816	t+1	498394567	0	0	847	0	1652166	0	0	161770	0	0	0	1813936	1814783	1814783	0.910818243
E.Stuart	1	1994	29125	14498		12509636	0	0	6	0	27990	0	0	1034	0	0	0	29024	29030	29030	0.964374311
E.Stuart	1	1995	122856	57322		44420729	0	0	20	0	170595	0	0	18985	0	0	0	189580	189600	189600	0.89985758
E.Stuart	1	1996	87570	41063		30930914	0	0	0	0	359206	0	0	104940	0	0	0	464146	464146	464146	0.773907348
E.Stuart	1	1997	266941	73417		30074781	0	0	1	0	109249	0	0	38121	201	0	0	147571	147572	147572	0.741324557
E.Stuart	1	1998	32570	9375		5505462	0	0	2	0	24341	0	0	4349	0	0	0	28690	28692	28692	0.848414082
