"","lower","25","mid","75","upper"
"arena2",-0.916118899776034,-0.374901688367826,-0.142190598842135,0.0854623753370283,0.573814890416221
"c_b_cys",-0.611658829031173,-0.135230476489429,0.101084075059402,0.317923953388436,0.804370128975245
"ce_sha",-0.640373573768089,-0.109111801030224,0.125527018954321,0.351467483522929,0.869381834853312
"de_sal",-0.534492875050367,-0.0206867194846296,0.215037638952681,0.436501196386621,0.953515026272764
"fa_mar",-0.843280688403856,-0.351479830767353,-0.117092312002594,0.107033961803536,0.632518128521283
"fl_psy",-0.98785032523881,-0.494157398563071,-0.27774827269943,-0.0502904876770489,0.476626446994405
"ic_hof",-0.840729115951014,-0.332128468882803,-0.0937564995384961,0.143556603586562,0.683631349279271
"ic_mul",-0.87882842480412,-0.335271727733867,-0.109285353180633,0.114342160875673,0.676075681608113
"ku_thy",-0.926425498139597,-0.4488830372217,-0.232902152514066,0.000115753820076616,0.524850508644536
"lo_sal",-0.576028275988896,-0.0571068312665307,0.171112092952759,0.40642136892591,0.903421009295547
"my_arc",-0.635382008786723,-0.104930648450472,0.121204593764149,0.346292943246903,0.873418362806601
"pa_kab",-0.806443676353563,-0.251912672631653,-0.00177233078425577,0.230033739806376,0.73743519820245
"pa_min",-0.97839408463373,-0.499692499492924,-0.274776318486701,-0.05279642741663,0.427626405990045
"pa_pse",-1.0458567857143,-0.489813924251056,-0.259524252467566,-0.0335243435068155,0.451113584496124
"pa_ther",-0.864601242005224,-0.373526273692295,-0.138805860013724,0.0897539940210582,0.609995913726674
"prv",-0.91404586700655,-0.409963625228138,-0.182870915599571,0.0505591355894872,0.578450367327798
"pspv",-0.546726547995534,-0.028961872081058,0.206586529791653,0.433710115905687,0.955120471206188
"rlo",-0.749311195896589,-0.216095976862644,0.000759462572494058,0.241620678006294,0.730639824199633
"sch",-0.74091144237062,-0.212356901871433,0.0360189039856733,0.263705413937201,0.770416021485094
"sp_des",-0.858431630180462,-0.346171517253014,-0.107114282144241,0.127466397843356,0.640907477118852
"smallUK",-1.15092204818269,-0.765967728233014,-0.601540471950508,-0.423883246833598,-0.0130057820552167
"te_bry",-0.86778682534041,-0.358361788577389,-0.131357181409853,0.0931556210321823,0.603788935580121
"te_mar",-1.10030235572756,-0.695934192959913,-0.51075229369209,-0.3259104333281,0.147620178915995
"ven",-0.474744334789503,0.0524866992413462,0.276879144240553,0.506133528259534,0.980804935847326
