"","lower","25","mid","75","upper"
"arena2",-0.855110608490282,-0.349187440696775,-0.125781362995622,0.103100659573886,0.626964978372258
"c_b_cys",-0.648507405679309,-0.127100597709362,0.114429309647962,0.347821245381487,0.879266999416015
"ce_sha",-0.607321771986467,-0.116963635608118,0.114270262656451,0.341452733505032,0.874320155286064
"de_sal",-0.529238053571943,3.056035196056e-05,0.212287753244492,0.426385073709062,0.95063766151854
"fa_mar",-0.844073039404745,-0.355661329522247,-0.131070245951142,0.106194706811746,0.659041265541907
"fl_psy",-0.95801004620302,-0.462073498351868,-0.241358042772575,-0.0173682114307712,0.520604207485731
"ic_hof",-0.886397211978189,-0.344273128329685,-0.1013029687899,0.127158916697698,0.706647135485949
"ic_mul",-0.871669802070361,-0.324682742793749,-0.0957276935266451,0.131473525516936,0.664063193281395
"ku_thy",-0.938396265621631,-0.431404958240719,-0.220434621395342,0.0129365847514921,0.541200959553356
"lo_sal",-0.600615938877641,-0.0613600868688306,0.159242614962954,0.385413383723501,0.898134460992304
"my_arc",-0.563783418758552,-0.0787627934248454,0.144339505378685,0.374781406512573,0.827445352329196
"pa_kab",-0.75232408708986,-0.221712085323956,0.0158703628864392,0.245268743484995,0.772702090823824
"pa_min",-1.03481704252343,-0.498789402866781,-0.274154732054048,-0.0583112894313469,0.515553406205367
"pa_pse",-1.01232158960379,-0.482554060946971,-0.26652010066038,-0.038262038403115,0.47528457267849
"pa_ther",-0.869321836822617,-0.381639507984911,-0.138808404505604,0.0861600162368789,0.616733532286789
"prv",-0.926369493670211,-0.399137125977014,-0.164975839233054,0.0713782104817155,0.547834377598743
"pspv",-0.500708201128124,-0.00457533675961738,0.219027281952703,0.435541180403707,0.917273625433297
"rlo",-0.739387498994312,-0.239403191758911,-0.00121994415008825,0.224786618596495,0.756175488222224
"sch",-0.674201581760629,-0.171831047382616,0.0603656956032489,0.295531475387745,0.811601296561428
"sp_des",-0.811746687279899,-0.340716037798193,-0.101567925902145,0.125724815862867,0.637710408253335
"smallUK",-1.16333047622975,-0.765795378523941,-0.594927459769972,-0.417922742364258,-0.0416604859251733
"te_bry",-0.874853917110941,-0.340069484191551,-0.117297098995901,0.105735516530853,0.61455319894829
"te_mar",-1.13444598602323,-0.720574540779854,-0.531815248157845,-0.347477843269225,0.0457456928313886
"ven",-0.486437793644727,0.0370650092212708,0.252240519986434,0.482187060055075,0.966692709784
