"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1950,1,"E.Stuart","59104","25658","",NA,0,0,579,0,240545,0,0,542,0,0,0,241087,241666,NA,"1",25658,NA,NA,NA,2.2403024503708,0,1,0,-0.634422090070314,179.7949782,-1.08590483173362,-1.04918020099449
1951,1,"E.Stuart","60423","29787","",NA,0,0,9,0,158428,0,0,15217,0,0,0,173645,173654,NA,"0.91",29787,25658,NA,NA,1.76294092850573,0,1,0,-0.0905815455059216,294.413004,-0.271409016409671,-0.22778672436168
1952,1,"E.Stuart","29925","15483","",NA,0,0,28,0,78012,0,0,10560,0,0,0,88572,88600,NA,"0.88",15483,29787,25658,NA,1.74407313274122,0,1,0,-0.642065857835898,260.8135208,-1.09735270357878,-0.468572552996268
1953,1,"E.Stuart","154036","78332","",NA,0,0,294,0,537711,0,0,2886,0,0,0,540597,540891,NA,"0.99",78332,15483,29787,25658,1.93171788038279,0,1,0,-0.973261825373918,362.0339953,-1.59337627576014,0.256809313212578
1954,1,"E.Stuart","35050","18010","",NA,0,0,341,0,154781,0,0,701,0,0,0,155482,155823,NA,"1",18010,78332,15483,29787,2.15560281010421,0,1,0,0.00693458248915148,187.0299165,-0.125361652026051,-0.997332063827736
1955,1,"E.Stuart","2159","1397","",NA,0,0,11,0,25824,0,0,1632,0,0,0,27456,27467,NA,"0.94",1397,18010,78332,15483,2.97825764303073,0,1,0,0.483746400203301,240.0020938,0.588746985343479,-0.617714629540566
1956,1,"E.Stuart","25020","16662","",NA,0,0,0,0,101035,0,0,6393,2966,0,0,110394,110394,NA,"0.92",16662,1397,18010,78332,1.89092510698729,0,0.973132597786112,0.0268674022138884,1.33239699780778,125.0629748,1.8597488761177,-1.44140917407286
1957,1,"E.Stuart","234850","119278","",NA,0,0,730,0,1215763,23,0,3272,3148,0,0,1222183,1222936,NA,"0.99",119278,16662,1397,18010,2.32693697997465,0,0.997407059731662,0.00259294026833784,0.097839360482682,182.1236784,0.0107840657008048,-1.03249190838115
1958,1,"E.Stuart","38807","22196","",NA,0,0,755,0,102112,0,0,240,0,0,0,102352,103107,NA,"1",22196,119278,16662,1397,1.52850576024413,0,1,0,-0.0312903871022449,162.859114,-0.1826101931366,-1.17054861820395
1959,1,"E.Stuart","2670","1297","",NA,0,0,0,0,14682,0,0,6153,0,0,0,20835,20835,NA,"0.7",1297,22196,119278,16662,2.77658035954011,0,1,0,0.441754791719849,224.2375817,0.525857247293719,-0.730688721624771
1960,1,"E.Stuart","14447","7401","",NA,0,0,22,0,69925,0,0,4202,0,0,0,74127,74149,NA,"0.94",7401,1297,22196,119278,2.30416471218882,0,1,0,-0.0517373006852008,146.2015324,-0.213233002921676,-1.28992276347664
1961,1,"E.Stuart","198921","87809","",NA,0,0,630,0,252123,0,0,2208,881,0,0,255212,255842,NA,"0.99",87809,7401,1297,22196,1.06693057122623,0,0.996556468445369,0.00344353155463137,0.722002029087697,205.1036429,0.945576233628295,-0.867809322009527
1962,1,"E.Stuart","26716","14075","",NA,0,0,0,0,67661,0,0,5992,2132,0,0,75785,75785,NA,"0.89",14075,87809,7401,1297,1.68350020985787,0,0.971867783862242,0.0281322161377581,-0.588415482557359,161.1151013,-1.01700193423714,-1.18304683255502
1963,1,"E.Stuart","4607","2590","",NA,0,0,332,0,90397,0,0,1825,0,0,0,92222,92554,NA,"0.98",2590,14075,87809,7401,3.57254083810152,0,1,0,-0.95382141285256,175.2447665,-1.5642608763934,-1.08178863393156
1964,1,"E.Stuart","2390","1300","",NA,0,0,1027,0,25940,0,0,12949,2971,0,0,41860,42887,NA,"0.62",1300,2590,14075,87809,3.47196645255036,0,0.930724928299951,0.069275071700049,-0.149255400100596,172.0482063,-0.359283319850152,-1.10469631950385
1965,1,"E.Stuart","23045","11242","",NA,0,0,432,0,415253,0,0,1526,0,0,0,416779,417211,NA,"1",11242,1300,2590,14075,3.6128993407128,0,1,0,-0.126586735946503,220.7792867,-0.325333052116286,-0.755472091722495
1966,1,"E.Stuart","10830","5959","",NA,0,0,1746,0,83040,0,0,0,0,0,0,83040,84786,NA,"1",5959,11242,1300,2590,2.63441973765274,0,1,0,-0.323645532829145,132.2029342,-0.620462878382265,-1.39024168943291
1967,1,"E.Stuart","21044","11167","",NA,0,0,423,0,326142,0,0,13128,0,0,0,339270,339693,NA,"0.96",11167,5959,11242,1300,3.41383325008769,0,1,0,-0.4750702302964,202.78803,-0.847247702824811,-0.884403826383435
1968,1,"E.Stuart","1522","793","",NA,0,0,11,0,10412,0,0,0,0,0,0,10412,10423,NA,"1",793,11167,5959,11242,2.57489104447961,0,1,0,-0.521399149570872,126.2276425,-0.916633318249574,-1.43306275173181
1969,1,"E.Stuart","109655","48687","",NA,0,0,648,0,1366181,76,0,4452,4237,0,0,1374870,1375594,NA,"0.99",48687,793,11167,5959,3.34070240617457,0,0.996864627208319,0.00313537279168127,-1.13020508833739,158.6269034,-1.82842611197533,-1.20087814232821
1970,1,"E.Stuart","32578","15806","",NA,0,0,1212,0,178232,0,0,1312,1380,0,0,180924,182136,NA,"0.99",15806,48687,793,11167,2.437687438802,0,0.992423244169192,0.00757675583080775,-0.485094371597235,133.9360774,-0.862260598099631,-1.37782136977888
1971,1,"E.Stuart","95940","45612","",NA,0,0,311,0,423510,0,0,6993,396,0,0,430899,431210,NA,"0.98",45612,15806,48687,793,2.24570288409992,0,0.999081653950511,0.000918346049488648,-0.272222728642217,228.2673373,-0.543448284231282,-0.701810061927384
1972,1,"E.Stuart","4657","2253","",NA,0,0,25,0,32207,0,0,0,0,0,0,32207,32232,NA,"1",2253,45612,15806,48687,2.65992115877854,0,1,0,-0.467030653629713,199.0080226,-0.83520703830018,-0.911492701787741
1973,1,"E.Stuart","299892","153870","",NA,0,0,4591,0,1342456,67,0,3951,1017,0,0,1347424,1352082,NA,"1",153870,2253,45612,15806,2.16984181038117,0,0.999198273477496,0.000801726522503813,-0.620859010369085,279.1204321,-1.06559176061384,-0.337378725374824
1974,1,"E.Stuart","39518","21603","",NA,0,0,1242,0,141307,0,0,2218,477,0,0,144002,145244,NA,"0.98",21603,153870,2253,45612,1.8969949944336,0,0.996715871223596,0.00328412877640384,-0.735717225395974,234.0968415,-1.23761191694461,-0.660033764626305
1975,1,"E.Stuart","65752","26248","",NA,0,0,150,0,220007,0,0,2852,76,0,0,222935,223085,NA,"0.99",26248,21603,153870,2253,2.13929045349219,0,0.999659322679696,0.00034067732030392,-0.227247171577681,319.9023766,-0.476089564130209,-0.0451208283913871
1976,1,"E.Stuart","11761","6792","",NA,0,0,43,0,28800,0,0,3034,0,0,0,31834,31877,NA,"0.9",6792,26248,21603,153870,1.54478945199862,0,1,0,0.428149265204432,244.4852059,0.505480604686165,-0.585587056165859
1977,1,"E.Stuart","117445","53381","",NA,0,0,572,0,752467,0,0,8655,0,0,0,761122,761694,NA,"0.99",53381,6792,26248,21603,2.65733878297806,0,1,0,0.0114386159865527,297.883815,-0.118616078397203,-0.202913660163208
1978,1,"E.Stuart","50004","20005","",NA,0,0,202,0,71470,0,0,1180,0,0,0,72650,72852,NA,"0.98",20005,53381,6792,26248,1.28967114770709,0,1,0,0.167214980449272,223.2043036,0.114686124333732,-0.738093559432469
1979,1,"E.Stuart","92746","36172","",NA,0,0,34,0,89807,0,0,17889,206,0,0,107902,107936,NA,"0.83",36172,20005,53381,6792,1.09293806889526,0,0.998091461606878,0.00190853839312185,-0.0420423379527537,431.0079915,-0.198713109812889,0.751101464386378
1980,1,"E.Stuart","16939","7361","",NA,0,0,10,0,37950,0,0,25541,0,0,0,63491,63501,NA,"0.6",7361,36172,20005,53381,2.15470237049364,0,1,0,-0.548073692679124,308.7731516,-0.956583086530922,-0.124876807009707
1981,1,"E.Stuart","129457","67227","",NA,0,0,46,0,331290,0,0,18805,0,0,0,350095,350141,NA,"0.95",67227,7361,36172,20005,1.65012959367569,0,1,0,0.986431776779315,326.2901376,1.34160577775598,0.000656135389552768
1982,1,"E.Stuart","4557","2158","",NA,0,0,13,0,26796,0,0,1007,0,0,0,27803,27816,NA,"0.96",2158,67227,7361,36172,2.55596206170745,0,1,0,-0.436006367904523,261.7616152,-0.788742773822029,-0.461778171833649
1983,1,"E.Stuart","23867","13121","",NA,0,0,423,0,176760,4,0,10949,760,0,0,188469,188896,NA,"0.94",13121,2158,67227,7361,2.66471953700666,0,0.995955446383195,0.00404455361680501,-0.157619006924173,270.3310462,-0.371809275899043,-0.400366586066701
1984,1,"E.Stuart","45201","21868","",NA,0,0,240,0,209867,12,0,29536,2385,0,0,241788,242040,NA,"0.87",21868,13121,2158,67227,2.40303692812488,0,0.990096678235002,0.00990332176499752,-0.0201058126820948,212.1579015,-0.165859347410876,-0.817255999736889
1985,1,"E.Stuart","234219","116610","",NA,0,0,2414,0,1179879,0,0,26057,527,0,0,1206463,1208877,NA,"0.98",116610,21868,13121,2158,2.33661318384337,0,0.999564058212705,0.000435941787295151,0.173742736423175,364.3859048,0.124462574393112,0.273663931911923
1986,1,"E.Stuart","28584","15219","",NA,0,0,56,0,128280,0,0,17603,3,0,0,145886,145942,NA,"0.88",15219,116610,21868,13121,2.26028084753765,0,0.999979443888668,2.0556111331899e-05,0.0190277063766811,303.0355966,-0.107250095432792,-0.165994163690107
1987,1,"E.Stuart","148194","75970","",NA,0,0,8,0,494847,0,0,31065,0,0,0,525912,525920,NA,"0.94",75970,15219,116610,21868,1.93479537284608,0,1,0,0.551989801594467,486.0193237,0.690953349712835,1.14533220684225
1988,1,"E.Stuart","179807","88069","",NA,0,0,33,0,319342,0,0,59894,0,0,663,379899,379932,NA,"0.84",88069,75970,15219,116610,1.46178482976985,0,0.998254950885948,0.00174504911405199,0.481430581093145,277.2341688,0.585278643394498,-0.350896358042266
1989,1,"E.Stuart","384799","211039","",NA,0,0,420,0,1091749,0,0,45932,688,0,0,1138369,1138789,NA,"0.96",211039,88069,75970,15219,1.68530886468361,0,0.999395849450601,0.000604150549399406,-0.147133142336359,398.5924679,-0.356104869686246,0.518800310699286
1990,1,"E.Stuart","97035","47063","fry leaving ",27908219,0,0,2,0,156963,0,0,9121,0,0,0,166084,166086,NA,"0.95",47063,211039,88069,75970,1.26100655479225,0,1,0,1.20884967631982,453.748659,1.67471527141095,0.914069163475606
1991,1,"E.Stuart","141119","85454","stream for lake",56034423,0,0,514,0,129192,0,0,14581,172,0,0,143945,144459,NA,"0.9",85454,47063,211039,88069,0.521453062705614,0,0.99880935075004,0.0011906492499602,0.990358537212832,434.867605,1.34748678455632,0.778760825373417
