"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1950,1,"E.Stuart",59104,"25658","",NA,0,0,579,0,240545,0,0,542,0,0,0,241087,241666,241666,"0.997751849",25658,NA,NA,NA,2.24270119373492,0,1,0,-0.729533174388131,179.7949782,-1.11495362025309,-1.05012016424814
1951,1,"E.Stuart",60423,"29787","",NA,0,0,9,0,158428,0,0,15217,0,0,0,173645,173654,173654,"0.912367186",29787,25658,NA,NA,1.76299275704541,0,1,0,-0.185692629823738,294.413004,-0.301674484616642,-0.273047139778964
1952,1,"E.Stuart",29925,"15483","",NA,0,0,28,0,78012,0,0,10560,0,0,0,88572,88600,88600,"0.880774963",15483,29787,25658,NA,1.74438920977634,0,1,0,-0.737176942153715,260.8135208,-1.12638439146633,-0.50084073374981
1953,1,"E.Stuart",154036,"78332","",NA,0,0,294,0,537711,0,0,2886,0,0,0,540597,540891,540891,"0.994661458",78332,15483,29787,25658,1.93226157574925,0,1,0,-1.06837290969173,362.0339953,-1.62166701225979,0.185401240049042
1954,1,"E.Stuart",35050,"18010","",NA,0,0,341,0,154781,0,0,701,0,0,0,155482,155823,155823,"0.99549144",18010,78332,15483,29787,2.15779358851372,0,1,0,-0.088176501828665,187.0299165,-0.155845283246651,-1.00106963011628
1955,1,"E.Stuart",2159,"1397","",NA,0,0,11,0,25824,0,0,1632,0,0,0,27456,27467,27467,"0.940559441",1397,18010,78332,15483,2.97865820382118,0,1,0,0.388635315885484,240.0020938,0.557196631056396,-0.641935456063632
1956,1,"E.Stuart",25020,"16662","",NA,0,0,0,0,101035,0,0,6393,2966,0,0,110394,110394,110394,"0.940490375",16662,1397,18010,78332,1.89092510698729,0,0.973132597786112,0.0268674022138884,1.23728591348996,125.0629748,1.82629992130475,-1.42118538824273
1957,1,"E.Stuart",234850,"119278","",NA,0,0,730,0,1215763,23,0,3272,3148,0,0,1222183,1222936,1222936,"0.99731591",119278,16662,1397,18010,2.32755290093703,0,0.997407059731662,0.00259294026833784,0.00272827616486549,182.1236784,-0.0199029376258055,-1.03433233249248
1958,1,"E.Stuart",38807,"22196","",NA,0,0,755,0,102112,0,0,240,0,0,0,102352,103107,103107,"0.997655151",22196,119278,16662,1397,1.53585519150181,0,1,0,-0.126401471420061,162.859114,-0.213008307481854,-1.16493982829345
1959,1,"E.Stuart",2670,"1297","",NA,0,0,0,0,14682,0,0,6153,0,0,0,20835,20835,20835,"0.704679626",1297,22196,119278,16662,2.77658035954011,0,1,0,0.346643707402033,224.2375817,0.494400836603889,-0.748813732943078
1960,1,"E.Stuart",14447,"7401","",NA,0,0,22,0,69925,0,0,4202,0,0,0,74127,74149,74149,"0.943313503",7401,1297,22196,119278,2.304461456101,0,1,0,-0.146848385003017,146.2015324,-0.243585373446104,-1.27787282660596
1961,1,"E.Stuart",198921,"87809","",NA,0,0,630,0,252123,0,0,2208,881,0,0,255212,255842,255842,"0.9913184",87809,7401,1297,22196,1.06939606535847,0,0.996556468445369,0.00344353155463137,0.62689094476988,205.1036429,0.913492854014221,-0.87853562956053
1962,1,"E.Stuart",26716,"14075","",NA,0,0,0,0,67661,0,0,5992,2132,0,0,75785,75785,75785,"0.918645541",14075,87809,7401,1297,1.68350020985787,0,0.971867783862242,0.0281322161377581,-0.683526566875176,161.1151013,-1.04615364870689,-1.17676366851442
1963,1,"E.Stuart",4607,"2590","",NA,0,0,332,0,90397,0,0,1825,0,0,0,92222,92554,92554,"0.980210796",2590,14075,87809,7401,3.57613438225525,0,1,0,-1.04893249717038,175.2447665,-1.59259510497041,-1.08096912315329
1964,1,"E.Stuart",2390,"1300","",NA,0,0,1027,0,25940,0,0,12949,2971,0,0,41860,42887,42887,"0.667026666",1300,2590,14075,87809,3.49620448524049,0,0.930724928299951,0.069275071700049,-0.244366484418413,172.0482063,-0.389417522950492,-1.10264076411181
1965,1,"E.Stuart",23045,"11242","",NA,0,0,432,0,415253,0,0,1526,0,0,0,416779,417211,417211,"0.996338587",11242,1300,2590,14075,3.61393532445035,0,1,0,-0.22169782026432,220.7792867,-0.355517969536283,-0.77225985091972
