Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1952,0,1.812361322,26.28340339,97.91619113,16.22904995,4.046150714,2.692169351,6.572561721,4.362691803,3.386469507,19.8509466,9.95201,4.925796011,0,198.0298015
1953,0,2.045614181,44.40179753,208.592438,26.56227289,0.290650143,5.981372216,7.270871831,1.301950906,3.188460392,11.45333515,3.745837538,16.4,5.294486147,336.5290869
1954,0,1.651937856,46.24121216,59.52690046,13.44339766,4.046150714,4.774613255,10.91934292,4.665006585,4.295367883,18.35103345,8.724542543,3.155472679,0,179.7949782
1955,0,4.158327749,78.63592617,117.2770752,28.46782822,0.290650143,5.622972373,13.43139836,2.668393946,4.295367883,19.06637237,3.775722941,12.90200489,3.820963759,294.413004
1956,0,3.633479811,105.0050874,85.05538139,4.439488312,4.046150714,5.976094332,5.058094664,3.566617266,5.916930685,26.24360357,9.546154488,2.326438105,0,260.8135208
1957,0,2.414860247,68.6983542,168.91125,78.79091843,0.290650143,2.701324688,6.73686646,0.804001498,1.492567731,14.82024793,4.974572241,8.402023642,2.996358109,362.0339953
1958,0,5.085555171,105.2017847,9.46725588,11.36070706,4.046150714,3.609631947,5.933470605,4.502137,7.671564129,19.90974144,7.661810638,2.580107236,0,187.0299165
1959,0,2.082246546,69.63660365,35.30929472,93.26421306,0.290650143,2.644449314,3.329916135,0.421890423,4.295367883,16.54628792,5.416754608,4.36747098,2.396948433,240.0020938
1960,0,2.799232559,41.29288599,12.81212698,25.05901306,4.046150714,3.841650774,9.047576941,3.855052,5.714378798,7.646323365,8.307277528,0.641306059,0,125.0629748
1961,0,1.726523166,36.78163064,26.7647634,61.06212489,0.290650143,4.234911165,5.797796468,0.868931155,8.602633138,15.877193,10.59794419,8.327306017,1.191271,182.1236784
1962,0,2.608172233,21.14892184,20.62544601,15.89483913,3.280066286,6.660146,16.85861251,7.405544,12.52789513,18.100445,36.00300485,1.746021027,0,162.859114
1963,0,3.027558496,43.88458576,36.88719209,59.28900281,0.337923,6.576663,7.62329799,0.645324176,9.182247266,30.332644,12.44325956,6.184788581,7.823095,224.2375817
1964,0,3.176697239,23.12306793,4.432929464,26.59757678,3.715581,7.61395,14.73569944,8.826392,9.486941872,26.401794,16.24731763,1.843585012,0,146.2015324
1965,0,2.492053715,82.81946782,14.37203725,47.80264565,0.120743,5.635737,4.519835856,0.427446326,5.258509991,17.743692,8.561458859,14.20176847,1.148247,205.1036429
1966,0,2.265916307,45.67737612,0.781551981,23.05578344,5.755398,2.961666,13.39085223,5.477631,6.77960722,29.903462,19.47540767,5.590449308,0,161.1151013
1967,0,4.743746875,85.99546484,15.04510656,45.60547925,0.255963,1.223781,0.632471001,1.015389507,5.041076239,6.241033,3.261029068,5.135290159,1.048936,175.2447665
1968,0,2.925462017,44.79568384,1.38817454,16.65809448,8.688613,4.7271,11.898322,6.218402,5.767850339,33.367884,28.71666676,6.895953286,0,172.0482063
1969,0,3.857179762,112.6650807,11.04029715,38.86789544,0.582818,6.764789,14.306542,0.649271516,5.988470055,11.299842,3.794948149,10.54734192,0.414811,220.7792867
1970,0,5.354265541,30.99983407,0.47360661,25.57475696,1.959688,5.131692,15.854998,2.225086,5.617392789,17.965372,16.58631435,4.459927874,0,132.2029342
1971,0,7.739516508,97.79716504,11.78987583,30.68047234,0.103103,3.60307,5.533292,1.057966895,10.50061423,18.772688,5.297062648,8.814452554,1.098751,202.78803
1972,0,1.901150519,55.73091771,2.431875794,13.03617714,0.564194,0.316321,3.743464,1.716596,1.893028413,20.803629,22.28700676,1.803282121,0,126.2276425
1973,0,5.503749153,86.50481906,9.367255648,20.3058979,0.346183,0.461852,1.210929,1.465305719,5.568947954,14.553755,5.262684178,7.265626835,0.809898,158.6269034
1974,0,2.669013081,66.82174508,2.819771322,19.24768374,3.980989,0.869195,4.953498,1.321053,3.19567667,11.945421,11.45869867,4.653332798,0,133.9360774
