"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","ic_hof","ic_mul","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","pmcv","prv","pspv","re_sal","reov","rlo","sav","sch","sgpx","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc_glnA"
"91","1000-0020-118-2413",0,"HS","SW",2009,"23-Jun-09",174,280,"Long Lake","Central Coast","Central Coast","Central Coast","Central Coast","Summer",126,18,0.899830832,-3.04583913,"","Northern","ECVI",51.215,-128.454,"Mixed","NO","AvgCopy",675098.97,NA,0,0,0,0,NA,1.331072417,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,97.57580327,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"92","1000-0020-118-2414",0,"HS","SW",2009,"24-Jun-09",175,281,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Summer",127,18,0.878741915,-3.056138658,"","Northern","ECVI",51.393,-128.319,"Mixed","NO","AvgCopy",496387104.4,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,31.13091049,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"93","1000-0020-118-2415",0,"HS","SW",2009,"24-Jun-09",175,281,"Seymour","Seymour","Lower Fraser","Lower Fraser","Fraser","Summer",129,19,0.88508396,-3.05301553,"","Northern","ECVI",51.393,-128.319,"Mixed","NO","AvgCopy",67455825433,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,3.281653265,0,0,0,0,0,0,0,0
"122","1000-0020-118-2538",0,"HS","SW",2009,"02-Jul-09",183,289,"Seymour","Seymour","Lower Fraser","Lower Fraser","Fraser","Summer",117,15,0.936555835,-3.028466326,"","Northern","Northern",51.017,-127.958,"Mixed","NO","AvgCopy",9914.159361,NA,0,0,0,0,NA,5276.055705,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,3.0749598,0,0,0,0,NA,0,26.46378163,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"123","1000-0020-118-2539",0,"HS","SW",2009,"02-Jul-09",183,289,"Felix","E.Stuart","Upper Fraser","Upper Fraser","Fraser","Summer",133,20,0.850109898,-3.070524927,"","Northern","Northern",51.017,-127.958,"Mixed","NO","AvgCopy",3.330503444,NA,0,0,0,0,NA,4.099590076,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,2.702841765,NA,0,0,0,NA,0,0,0,1.159695138,25.71304523,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"124","1000-0020-118-2540",0,"HS","SW",2009,"02-Jul-09",183,289,"Little","L.Shuswap","Thompson","Thompson","Thompson","Summer",126,18,0.899830832,-3.04583913,"","Northern","Northern",51.017,-127.958,"Mixed","NO","AvgCopy",0.097257225,NA,0,0,0,0,NA,8968.887383,0,0,0,0,0,0,0,NA,348.0968203,0,0,NA,NA,NA,0,0,0,NA,55.17561885,NA,0,0,0,NA,0,0,0,0,1.591797267,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0.692860793,0,0,0,0,0
"125","1000-0020-118-2544",0,"HS","SW",2009,"02-Jul-09",183,289,"Glendale","South Coast","South Coast","South Coast","South Coast","Summer",142,26,0.908046973,-3.041891685,"","VIN","ECVI",50.853,-127.533,"Mixed","NO","AvgCopy",0.000143555,NA,0,0,0,0,NA,313.9451491,0,0,0,0,0,0,0,NA,0.493183554,0,0,NA,NA,NA,0,0,0,NA,6832518.68,NA,0,0,0,NA,0,0,0,0,159.6667204,0,0,NA,0,2.963798598,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0
"126","1000-0020-118-2545",0,"HS","SW",2009,"02-Jul-09",183,289,"Seymour","Seymour","Lower Fraser","Lower Fraser","Fraser","Summer",129,19,0.88508396,-3.05301553,"","VIN","ECVI",50.853,-127.533,"Mixed","NO","AvgCopy",8.38e-06,NA,0,0,0,0,NA,2150660.233,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,312.6298633,501.3634759,0,0,NA,0,26.99920684,0,0,0,NA,3.21325937,0,0,0,NA,0,0,0,0,0,0,0,0,0
"127","1000-0020-118-2546",0,"HS","SW",2009,"02-Jul-09",183,289,"Little","L.Shuswap","Thompson","Thompson","Thompson","Summer",130,20,0.910332271,-3.040800061,"","VIN","ECVI",50.853,-127.533,"Mixed","NO","AvgCopy",0.651015754,NA,0,0,0,0,NA,5409.329504,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,26.83286305,NA,0,0,0,NA,0,0,0,1557.952922,2.450916263,0,0,NA,0,4905.885712,0,0,0,NA,0,0,5.398966508,0,NA,0,0,0,0,0,0,0,0,0
"128","1000-0020-118-2547",0,"HS","SW",2009,"02-Jul-09",183,289,"Birkenhead","Birkenhead","Lower Fraser","Lower Fraser","Fraser","Summer",119,14,0.83078214,-3.080512848,"","VIN","ECVI",50.853,-127.533,"Mixed","NO","AvgCopy",0.247730612,NA,0,0,0,0,NA,71.57391804,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,7468.210321,NA,0,0,0,NA,0,0,0,30.70162045,4.099408082,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"129","1000-0020-118-2555",0,"HS","SW",2009,"02-Jul-09",183,289,"Harrison","Harrison","Harrison-Widgeon","Harrison-Widgeon","Harrison-Widgeon","Summer",117,17,1.061429946,-2.974108664,"","VIN","ECVI",50.702,-127.281,"Mixed","NO","AvgCopy",0.132106697,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,26677.90552,0,400.0896494,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"130","1000-0020-118-2557",0,"HS","SW",2009,"02-Jul-09",183,289,"Seymour","Seymour","Lower Fraser","Lower Fraser","Fraser","Summer",121,17,0.959605681,-3.01790719,"","VIN","ECVI",50.702,-127.281,"Mixed","NO","AvgCopy",0.007583504,NA,0,0,0,0,NA,7780.829438,0,0,0,0,0,0,0,NA,0.627072579,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,102.6620968,0.10987727,0,0,NA,0,7093.198125,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"131","1000-0020-118-2558",0,"HS","SW",2009,"02-Jul-09",183,289,"L Adams","L.Shuswap","Thompson","Thompson","Thompson","Summer",129,21,0.978250692,-3.009549836,"","VIN","ECVI",50.702,-127.281,"Mixed","NO","AvgCopy",0.229935153,NA,0,0,0,0,NA,1673.454305,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,76.83831595,11.54875822,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"132","1000-0020-118-2564",0,"HS","SW",2009,"03-Jul-09",184,290,"Portage Cr","Portage","Middle Fraser","Middle Fraser","Fraser","Summer",131,20,0.889643702,-3.050783891,"","VIN","ECVI",50.737,-126.953,"Mixed","NO","AvgCopy",10.82473689,NA,0,0,0,0,NA,5.208606113,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,1262.897065,NA,0,0,0,NA,0,0,0,0.222590429,79.81945245,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"133","1000-0020-118-2566",0,"HS","SW",2009,"03-Jul-09",184,290,"L Adams","L.Shuswap","Thompson","Thompson","Thompson","Summer",135,24,0.975461058,-3.010790064,"","VIN","ECVI",50.737,-126.953,"Mixed","NO","AvgCopy",1.029563619,NA,0,0,NA,0,NA,8854.663388,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,132.8560685,59.95262492,0,0,NA,0,362.365897,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"134","1000-0020-118-2567",0,"HS","SW",2009,"03-Jul-09",184,290,"Seymour","Seymour","Lower Fraser","Lower Fraser","Fraser","Summer",120,16,0.925925926,-3.033423755,"","VIN","ECVI",50.737,-126.953,"Mixed","NO","AvgCopy",5.39e-05,NA,0,0,0,0,NA,390.4369639,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,466.5545883,0,0.084146154,16857.91172,0,NA,0,16421.26437,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"135","1000-0020-118-2568",0,"HS","SW",2009,"03-Jul-09",184,290,"Quesnel Mitche","Quesnel","Middle Fraser","Middle Fraser","Fraser","Summer",113,14,0.970270227,-3.013107295,"","VIN","ECVI",50.737,-126.953,"Mixed","NO","AvgCopy",3.884225305,NA,0,0,0,0,NA,176.672688,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,1407451.761,NA,0,0,0,NA,0,0,0,0.314412305,68.13957163,0,0,NA,0,95305.83449,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"310","1000-0023-118-5861",0,"HS","SW",2010,"24-Jun-10",175,646,"Okanagan","US","US","US","US","Summer",134,21,0.872780229,-3.0590951,"M","Northern","ECVI",50.932,-128.991,"Mixed","NO","AvgCopy",67569591.91,NA,0,0,0,0,NA,406.6997726,131.6833551,0,0,0,110321.3271,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,1404.169969,0,0,0,0,NA,0,981.2894019,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"311","1000-0023-118-5862",0,"HS","SW",2010,"24-Jun-10",175,646,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",136,22,0.874592917,-3.058194044,"F","Northern","ECVI",50.932,-128.991,"Mixed","NO","AvgCopy",1.12e+15,NA,0,0,1.335696805,0,NA,10317.79076,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,455583.8274,NA,0,0,0,NA,0,0,14646.65115,0,6.47378225,0,0,NA,0,138.8441748,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"312","1000-0023-118-5863",0,"HS","SW",2010,"24-Jun-10",175,646,"Kitimat","Central Coast","Central Coast","Central Coast","Central Coast","Summer",132,22,0.956535047,-3.019299113,"M","Northern","ECVI",50.932,-128.991,"Mixed","NO","AvgCopy",4.03e+17,NA,0,0,0,0,NA,5.853015762,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,695.3157057,NA,0,0,0,NA,0,0,13.81956198,17.25686376,0,0,0,NA,0.606852896,7.352217348,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"313","1000-0023-118-5864",0,"HS","SW",2010,"24-Jun-10",175,646,"Okanagan","US","US","US","US","Summer",123,18,0.967291053,-3.014442829,"F","Northern","ECVI",50.932,-128.991,"Mixed","NO","AvgCopy",2.09e+12,NA,0,0,0,0,NA,10603.77847,1503.583032,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,3.637908721,NA,0,0,0,NA,0,0,41612.09581,0,0.105192922,0,0,NA,0,34053.78652,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"314","1000-0023-118-5865",0,"HS","SW",2010,"24-Jun-10",175,646,"Okanagan","US","US","US","US","Summer",134,23,0.955902156,-3.019586559,"M","Northern","ECVI",50.932,-128.991,"Mixed","NO","AvgCopy",2.41e+13,NA,0,0,7.280934405,0,NA,13875.13487,789.1237537,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,74.09150405,NA,0,0,0,NA,0,0,46982.22602,0,0,0,0,NA,0,6986.23006,0,0,1.189995193,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"315","1000-0023-118-5866",0,"HS","SW",2010,"24-Jun-10",175,646,"Lake Wenatchee","US","US","US","US","Summer",153,34,0.9493025,-3.022595375,"M","Northern","ECVI",51.003,-128.867,"Mixed","NO","AvgCopy",4.69e+16,NA,0,0,0,0,NA,2525.18329,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,13.30188021,NA,0,0,0,NA,0,0,10365.21148,0,4.194159502,0,0,NA,0,16.85103046,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"317","1000-0023-118-5869",0,"HS","SW",2010,"24-Jun-10",175,646,"Lake Wenatchee","US","US","US","US","Summer",172,47,0.92366081,-3.034487483,"F","Northern","ECVI",51.072,-128.727,"Mixed","NO","AvgCopy",2.1e+13,NA,0,0,0,0,NA,370.2827698,191.62848,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,10499.20656,0,13.84591231,0,0,NA,0,689.2002576,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"318","1000-0023-118-5870",0,"HS","SW",2010,"24-Jun-10",175,646,"Great Central","VI","VI","VI","VI","Summer",135,23,0.934816847,-3.029273469,"M","Northern","ECVI",51.072,-128.727,"Mixed","NO","AvgCopy",2.88e+13,NA,0,0,0,0,NA,60723.31532,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,60.77408008,NA,0,0,0,NA,0,0,37.00965047,0,2747.255424,0,0,NA,0,9.203675412,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
