"","stock_name","Stock.ID","BY","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2"
"3","E.Stuart",1,1950,59104,"25658","",NA,0,0,579,0,240545,0,0,542,0,0,0,241087,241666,241666,"0.997751849",25658,NA,NA,NA,2.24270119373492,0,1,0
"4","E.Stuart",1,1951,60423,"29787","",NA,0,0,9,0,158428,0,0,15217,0,0,0,173645,173654,173654,"0.912367186",29787,25658,NA,NA,1.76299275704541,0,1,0
"5","E.Stuart",1,1952,29925,"15483","",NA,0,0,28,0,78012,0,0,10560,0,0,0,88572,88600,88600,"0.880774963",15483,29787,25658,NA,1.74438920977634,0,1,0
"6","E.Stuart",1,1953,154036,"78332","",NA,0,0,294,0,537711,0,0,2886,0,0,0,540597,540891,540891,"0.994661458",78332,15483,29787,25658,1.93226157574925,0,1,0
"7","E.Stuart",1,1954,35050,"18010","",NA,0,0,341,0,154781,0,0,701,0,0,0,155482,155823,155823,"0.99549144",18010,78332,15483,29787,2.15779358851372,0,1,0
"8","E.Stuart",1,1955,2159,"1397","",NA,0,0,11,0,25824,0,0,1632,0,0,0,27456,27467,27467,"0.940559441",1397,18010,78332,15483,2.97865820382118,0,1,0
"9","E.Stuart",1,1956,25020,"16662","",NA,0,0,0,0,101035,0,0,6393,2966,0,0,110394,110394,110394,"0.940490375",16662,1397,18010,78332,1.89092510698729,0,0.973132597786112,0.0268674022138884
"10","E.Stuart",1,1957,234850,"119278","",NA,0,0,730,0,1215763,23,0,3272,3148,0,0,1222183,1222936,1222936,"0.99731591",119278,16662,1397,18010,2.32755290093703,0,0.997407059731662,0.00259294026833784
"11","E.Stuart",1,1958,38807,"22196","",NA,0,0,755,0,102112,0,0,240,0,0,0,102352,103107,103107,"0.997655151",22196,119278,16662,1397,1.53585519150181,0,1,0
"12","E.Stuart",1,1959,2670,"1297","",NA,0,0,0,0,14682,0,0,6153,0,0,0,20835,20835,20835,"0.704679626",1297,22196,119278,16662,2.77658035954011,0,1,0
"13","E.Stuart",1,1960,14447,"7401","",NA,0,0,22,0,69925,0,0,4202,0,0,0,74127,74149,74149,"0.943313503",7401,1297,22196,119278,2.304461456101,0,1,0
"14","E.Stuart",1,1961,198921,"87809","",NA,0,0,630,0,252123,0,0,2208,881,0,0,255212,255842,255842,"0.9913184",87809,7401,1297,22196,1.06939606535847,0,0.996556468445369,0.00344353155463137
"15","E.Stuart",1,1962,26716,"14075","",NA,0,0,0,0,67661,0,0,5992,2132,0,0,75785,75785,75785,"0.918645541",14075,87809,7401,1297,1.68350020985787,0,0.971867783862242,0.0281322161377581
"16","E.Stuart",1,1963,4607,"2590","",NA,0,0,332,0,90397,0,0,1825,0,0,0,92222,92554,92554,"0.980210796",2590,14075,87809,7401,3.57613438225525,0,1,0
"17","E.Stuart",1,1964,2390,"1300","",NA,0,0,1027,0,25940,0,0,12949,2971,0,0,41860,42887,42887,"0.667026666",1300,2590,14075,87809,3.49620448524049,0,0.930724928299951,0.069275071700049
"18","E.Stuart",1,1965,23045,"11242","",NA,0,0,432,0,415253,0,0,1526,0,0,0,416779,417211,417211,"0.996338587",11242,1300,2590,14075,3.61393532445035,0,1,0
"19","E.Stuart",1,1966,10830,"5959","",NA,0,0,1746,0,83040,0,0,0,0,0,0,83040,84786,84786,"1",5959,11242,1300,2590,2.65522775306382,0,1,0
"20","E.Stuart",1,1967,21044,"11167","",NA,0,0,423,0,326142,0,0,13128,0,0,0,339270,339693,339693,"0.961305155",11167,5959,11242,1300,3.41507926807314,0,1,0
"21","E.Stuart",1,1968,1522,"793","",NA,0,0,11,0,10412,0,0,0,0,0,0,10412,10423,10423,"1",793,11167,5959,11242,2.57594696010447,0,1,0
"22","E.Stuart",1,1969,109655,"48687","",NA,0,0,648,0,1366181,76,0,4452,4237,0,0,1374870,1375594,1375594,"0.996751866",48687,793,11167,5959,3.34122886281368,0,0.996864627208319,0.00313537279168127
"23","E.Stuart",1,1970,32578,"15806","",NA,0,0,1212,0,178232,0,0,1312,1380,0,0,180924,182136,182136,"0.992692599",15806,48687,793,11167,2.44436404598694,0,0.992423244169192,0.00757675583080775
"24","E.Stuart",1,1971,95940,"45612","",NA,0,0,311,0,423510,0,0,6993,396,0,0,430899,431210,431210,"0.983756211",45612,15806,48687,793,2.24642437062539,0,0.999081653950511,0.000918346049488648
"25","E.Stuart",1,1972,4657,"2253","",NA,0,0,25,0,32207,0,0,0,0,0,0,32207,32232,32232,"1",2253,45612,15806,48687,2.66069708643894,0,1,0
"26","E.Stuart",1,1973,299892,"153870","",NA,0,0,4591,0,1342456,67,0,3951,1017,0,0,1347424,1352082,1352082,"0.997065523",153870,2253,45612,15806,2.17329281558201,0,0.999198273477496,0.000801726522503813
"27","E.Stuart",1,1974,39518,"21603","",NA,0,0,1242,0,141307,0,0,2218,477,0,0,144002,145244,145244,"0.984546246",21603,153870,2253,45612,1.90558289285448,0,0.996715871223596,0.00328412877640384
"28","E.Stuart",1,1975,65752,"26248","",NA,0,0,150,0,220007,0,0,2852,76,0,0,222935,223085,223085,"0.987202671",26248,21603,153870,2253,2.13996306909533,0,0.999659322679696,0.00034067732030392
"29","E.Stuart",1,1976,11761,"6792","",NA,0,0,43,0,28800,0,0,3034,0,0,0,31834,31877,31877,"0.904693095",6792,26248,21603,153870,1.54613929759919,0,1,0
"30","E.Stuart",1,1977,117445,"53381","",NA,0,0,572,0,752467,0,0,8655,0,0,0,761122,761694,761694,"0.98862863",53381,6792,26248,21603,2.65809002282174,0,1,0
"31","E.Stuart",1,1978,50004,"20005","",NA,0,0,202,0,71470,0,0,1180,0,0,0,72650,72852,72852,"0.983757743",20005,53381,6792,26248,1.2924477436271,0,1,0
"32","E.Stuart",1,1979,92746,"36172","",NA,0,0,34,0,89807,0,0,17889,206,0,0,107902,107936,107936,"0.833893552",36172,20005,53381,6792,1.09325312000101,0,0.998091461606878,0.00190853839312185
"33","E.Stuart",1,1980,16939,"7361","",NA,0,0,10,0,37950,0,0,25541,0,0,0,63491,63501,63501,"0.597722512",7361,36172,20005,53381,2.15485986072957,0,1,0
"34","E.Stuart",1,1981,129457,"67227","",NA,0,0,46,0,331290,0,0,18805,0,0,0,350095,350141,350141,"0.946286008",67227,7361,36172,20005,1.65026097795204,0,1,0
"35","E.Stuart",1,1982,4557,"2158","",NA,0,0,13,0,26796,0,0,1007,0,0,0,27803,27816,27816,"0.963780887",2158,67227,7361,36172,2.55642952786962,0,1,0
"36","E.Stuart",1,1983,23867,"13121","",NA,0,0,423,0,176760,4,0,10949,760,0,0,188469,188896,188896,"0.941670351",13121,2158,67227,7361,2.6669825989347,0,0.995955446383195,0.00404455361680501
"37","E.Stuart",1,1984,45201,"21868","",NA,0,0,240,0,209867,12,0,29536,2385,0,0,241788,242040,242040,"0.876626442",21868,13121,2158,67227,2.40407862072137,0,0.990096678235002,0.00990332176499752
"38","E.Stuart",1,1985,234219,"116610","",NA,0,0,2414,0,1179879,0,0,26057,527,0,0,1206463,1208877,1208877,"0.978392717",116610,21868,13121,2158,2.33861207493429,0,0.999564058212705,0.000435941787295151
